,word,creole_word,creole name
95,afresh,"ankò, a nouvo",hatian
96,Africa,Afrik,hatian
97,after,"apre, dèyè",hatian
98,afternoon,aprèmidi,hatian
99,~in the afternoon,d laprèmidi,hatian
100,~this afternoon,sètaprèmidi,hatian
101,again,ankò,hatian
102,against,"kont, opoze",hatian
103,age,(n) laj,hatian
104,age,v vyeyi,hatian
105,aged,vye,hatian
106,agile,"ajil, lèst",hatian
107,ago,(adj) pase,hatian
108,ago,(adv) depi,hatian
109,agree,"konsanti, dakò",hatian
110,ahead,devann,hatian
111,aid,"n èd, sipò",hatian
112,ail,soufri,hatian
113,aim,n bi,hatian
114,aim,v vize,hatian
115,air,lè,hatian
116,air conditioning,er kondisyone,hatian
117,air port,aeropò,hatian
118,ale,byè,hatian
119,alert,"adj sou kiviv, eveye",hatian
120,algebra,aljèb,hatian
121,alien,n etranje,hatian
122,alike,"tankou, menm, parèy",hatian
123,aliment,manje,hatian
124,alive,vivan,hatian
125,all,tout,hatian
126,all the others,tout lèzòt,hatian
127,~at all,du tou,hatian
128,allay,"soulaje, diminye",hatian
129,allies,alèz,hatian
130,allot,"repati, lote",hatian
131,allow,"pèmèt, otorize",hatian
132,allude,"pretann, sipoze",hatian
133,allure,atire,hatian
134,allusion,"alizyon, sipoziyon",hatian
135,ally,alye,hatian
136,almost,"prèske, prèt pou, (almost catch) manke",hatian
137,alone,"sèl, pou kont-(pron.)",hatian
138,along,ansanm,hatian
139,aloof,"endiferan , lwen",hatian
140,aloud,"aotvwa, byen fò",hatian
141,already,deja,hatian
142,also,"tou, ositou",hatian
143,alter,"chanje, altere",hatian
144,although,malgre,hatian
145,amateur,amatè,hatian
146,amazing,etonan,hatian
147,ambassador,anbasadè,hatian
148,amber,"oranj, abriko",hatian
149,amend,korije,hatian
150,amenity,"konfò, amenajman",hatian
151,American,ameriken,hatian
152,amiable,emab,hatian
153,among,"pami, omilye",hatian
154,amount,"montan, total",hatian
155,ample,"ase, gran, laj , sifizan",hatian
156,amuse,amize,hatian
157,ancient,"ansyen, vye",hatian
158,and,"ak, epi, e",hatian
159,anew,"ankò, anouvo",hatian
160,anger,n kòlè,hatian
161,anger,v fè fache,hatian
162,angle,"angl, aspè",hatian
163,angry,fache,hatian
164,animal,"animal , zannimo, bèt",hatian
165,anniversary,"fèt, anivèsè",hatian
166,announce,anonse,hatian
167,annoy,"anniye, anmède",hatian
168,annual,"anyèl, chak ane, lan",hatian
169,another,"onlòt, youn lòt",hatian
170,anthropology,antropoloji,hatian
171,answer,n repons,hatian
172,answer,v reponn,hatian
173,ant,foumi,hatian
174,Antilles,Zantiy,hatian
175,anxiety,"enkyetid, anksyete",hatian
176,any,nepòt,hatian
177,anywhere (at all),tou patou,hatian
178,apart,"aleka, separe, detache",hatian
179,apologize,eskize,hatian
180,appall,"efarouche, terifye",hatian
181,appalling,terifyan,hatian
182,appeal,"n (legal) fè apèl, cham",hatian
183,appear,"genlè, parèt, sanble",hatian
184,append,"tache, kole, ajoute",hatian
185,appendix,apendis,hatian
186,apple,pòm,hatian
187,application,aplikasyon,hatian
188,appoint,"nonmen, dezinyen",hatian
189,appointment,randevou,hatian
190,appraise,"evalue, estime",hatian
191,appreciate,apresye,hatian
192,apprehend,"apreyande, arete",hatian
193,apprenticeship program,pwogram aprantisaj,hatian
194,approach,v aproche,hatian
195,approach,"n aksè, apròch, fason",hatian
196,approve,aprouve,hatian
197,approximate,adj aproksimatif,hatian
198,approximate,v aproksime,hatian
199,apricot,abiko,hatian
200,April,avril,hatian
201,apt,"jis, aptopriye",hatian
202,archbishop,monsenyè,hatian
203,argue,"diskite, mentni",hatian
204,arise,"pete, gaye, provni, plede",hatian
205,arm,n bra,hatian
206,arm,v ame,hatian
207,armchair,"fotèy, dodin",hatian
208,around,"alantou, otou, anviron",hatian
209,arouse,"reveye, eksite",hatian
210,arrange,"ranje, òganize",hatian
211,array,etalaj,hatian
212,arrest,arestasyon,hatian
213,arrest,v arete,hatian
214,arrive,rive,hatian
215,arrogant,arogan,hatian
216,arrow,flèch,hatian
217,art,"ar, la",hatian
218,artful,"rize, koken",hatian
219,article,atik,hatian
220,artificial,artifisyèl,hatian
221,artistic,atistik,hatian
222,as,"tankou, otan, kom, menm ak",hatian
223,as for,ala,hatian
224,as long as,tank,hatian
225,as soon as possible,le pli vit ke posib,hatian
226,as that,kon sa,hatian
227,ascend,monte,hatian
228,ascent,monte,hatian
229,ascertain,"tcheke, rann kont",hatian
230,ashamed,ront,hatian
231,ashtray,sandriye,hatian
232,aside,"akote, sou kote",hatian
233,ask,mande,hatian
234,askew,krochi,hatian
235,asleep,nan dòmi,hatian
236,aspect,aspè,hatian
237,asphalt,asfalt,hatian
238,ass,"bourik(donkey), dèyè(rear),",hatian
239,bounda(buttock,butt),hatian
240,assail,"asayi, atake",hatian
241,assembly,asanble,hatian
242,assert,revandike,hatian
243,assign,"deziyen, anchaje",hatian
244,assist,"ede, segonde",hatian
245,assistance,asistans,hatian
246,associate,v . asosye,hatian
247,assume,sipoze,hatian
248,assure,asire,hatian
249,asterick,asteris*,hatian
250,astonish,"etone, siprann",hatian
251,astound,"fè sote, pantan",hatian
252,astute,rize,hatian
253,asunder,kase ande,hatian
254,asylum,azil,hatian
255,at,a,hatian
256,athwart,antravè,hatian
257,atomic,atomik,hatian
258,atop,"anlè, soutèt",hatian
259,atrocious,atròs,hatian
260,attach,"tache, kole",hatian
261,attack,atake,hatian
262,attain,"atenn, rive",hatian
263,attainment,reyalizasyon,hatian
264,attempt,"n esè, tantataif",hatian
265,attempt,"v tante, pran chans, eseye",hatian
266,attention,n atansyon,hatian
267,attest,ateste,hatian
268,attitude,atitud,hatian
269,attract,atire,hatian
270,attribute,n kalite,hatian
271,audit,verifye,hatian
272,audience,odiyans,hatian
273,August,out,hatian
274,aunt,"tant, matant",hatian
275,auspicious,favorab,hatian
276,austere,"distan, endiferan",hatian
277,authentic Creole,Kreyòl natif natal,hatian
278,author,"otè, lotè, ekriven",hatian
279,authority,otorite,hatian
280,authorization,otorizasyon,hatian
281,automobile,oto,hatian
282,autumn,lotòn,hatian
283,available,disponib,hatian
284,avaricious,"oeng, kripya, ava",hatian
285,avenge,vanje,hatian
286,avenue,avnu,hatian
287,average,mwayèn,hatian
288,avert,"evite, detounen",hatian
289,avid,"avid, grangou",hatian
290,avocado,zaboka,hatian
291,avoid,evite,hatian
292,avouch,avalide,hatian
293,awake,adj reveye,hatian
294,award,prim,hatian
295,away,lwen,hatian
296,awful,terifyan,hatian
297,awhile,on moman,hatian
298,awkward,gòch,hatian
299,axe,"rach , aks",hatian
300,axis,aks,hatian
301,azure,ble,hatian
302,"at, in, to, about",a,hatian
303,will,a,hatian
304,at ease,a lèz,hatian
305,kneeling,a jenou,hatian
306,on foot,a pye,hatian
307,(adj) walking,a pye,hatian
308,afresh,a nouvo,hatian
309,finally,"a la fen (alè ki le, finalman)",hatian
310,extremely,a mò,hatian
311,down with...!,aba,hatian
312,jeans,abako,hatian
313,"to abandon, abandoned",abandonnen (bandonnen),hatian
314,to live,abite,hatian
315,habit,abitid,hatian
316,accustom to,abitwe,hatian
317,to dress,abiye,hatian
318,to abuse (take advantage),abize,hatian
319,absent,absan,hatian
320,(adv) aboard,abò,hatian
321,to approach,abòde,hatian
322,"to a abolish, abolished",aboli,hatian
323,"(n) subscription, standing order",abònman,hatian
324,"done in, drained (tired)",about,hatian
325,overactive,about,hatian
326,to arrive,abouti,hatian
327,"to relieve, to sustain",abreje,hatian
328,(n) type of fruit,abriko (zabriko),hatian
329,absent,absan,hatian
330,abscess,abse,hatian
331,absinte,absent,hatian
332,purchase,acha,hatian
333,architect,achitek,hatian
334,archive,achiv,hatian
335,to buy,achte,hatian
336,buyer,achtè,hatian
337,"to fawn, to curry favor",achtè figi (achte deye),hatian
338,(v) to adapt,adapte,hatian
339,(n) adhesive tape,adezif,hatian
340,(n) adultery,adiltè,hatian
341,adress,adrès,hatian
342,"to petition, to appeal to",adrese,hatian
343,(adv) right (direction),adwat,hatian
344,(n) slate,adwaz,hatian
345,business,afe,hatian
346,(n) affection,afeksyon,hatian
347,depressed,afese,hatian
348,(n) poster,afich,hatian
349,(v) to post,afiche,hatian
350,(v) to be seen in public,afiche,hatian
351,because of (as a result of),afòs,hatian
352,gluttonous,afre,hatian
353,gluttony,afreman,hatian
354,pleasent,agreyab,hatian
355,silver,ajan,hatian
356,agency,ajans,hatian
357,silverware,ajantri,hatian
358,knell,ajenou,hatian
359,adjust,ajiste,hatian
360,add,ajoute,hatian
361,and,ak,hatian
362,with,ak,hatian
363,drive-in,ak machin,hatian
364,accept,aksepte,hatian
365,accident,aksidan,hatian
366,action,aksyon,hatian
367,deed,aksyon,hatian
368,actuate,aksyonen,hatian
369,act,aktè,hatian
370,(n) act,aktè,hatian
371,active,aktif,hatian
372,activity,aktivite,hatian
373,go to bed,al dòmi,hatian
374,as for,ala,hatian
375,scare,alame (fè pè),hatian
376,around,alantou (otou),hatian
377,around,anviron (anviwon),hatian
378,expect,alatant,hatian
379,(adv) vice versa,ale pou vini,hatian
380,finally,alè ki le (finalman),hatian
381,there and back,ale-retou,hatian
382,go,ale,hatian
383,lure,aleche (fè lasisiy),hatian
384,apart,aleka,hatian
385,"apart, seperate",separe,hatian
386,presently,alèkile (kounye-a),hatian
387,(n) relief,alemye,hatian
388,breath,alèn (souf),hatian
389,"east, east-end, in the east, east-side",alès,hatian
390,abroad,aletranje,hatian
391,allies,alèz,hatian
392,alphabet,alfabè,hatian
393,hawk,alfini,hatian
394,(v) power,alimante,hatian
395,(n) match,alimèt (match),hatian
396,(v) range,aliyen (klase),hatian
397,allusion,alizyon (sipoziyon),hatian
398,algebra,aljèb,hatian
399,alter,altere,hatian
400,"west, west-end, west side, in the west",alwès,hatian
401,compound,alyaj,hatian
402,(n) compound,alyaj,hatian
403,ally,alye,hatian
404,merge,amalgame,hatian
405,casing,aman,hatian
406,(n) fine,amann,hatian
407,amateur,amatè,hatian
408,(v) arm,ame,hatian
409,army,ame,hatian
410,improvement,amelyorasyon,hatian
411,improve,amelyore,hatian
412,amenity,amenajman,hatian
413,reduce,amensi,hatian
414,Latin America,Amerik Latin,hatian
415,American,ameriken,hatian
416,(adj) fun,amizan,hatian
417,amuse,amize,hatian
418,entertain,amize,hatian
419,(n) fun,amizman (plezi),hatian
420,deaden,amòti (mouri),hatian
421,love,amou,hatian
422,in,an,hatian
423,in order,an règ,hatian
424,let's go,an alè,hatian
425,across from,an fas,hatian
426,at the same time,an menm tan,hatian
427,in general,an jeneral,hatian
428,in France,an Frans,hatian
429,illiterate,analfabèt,hatian
430,pineapple,anana (zannanna),hatian
431,bottom,anba (bounda),hatian
432,down there,anba-a,hatian
433,below,anba,hatian
434,beneath,anba,hatian
435,(adv) down,anba,hatian
436,under,anba,hatian
437,illicit,anbachal,hatian
438,(v) board,anbake,hatian
439,(v) bale,anbale,hatian
440,perplex,anbarase,hatian
441,embassy,anbasad,hatian
442,ambassador,anbasadè,hatian
443,underground,anbatè,hatian
444,stomach,anbativant (lestomak),hatian
445,bother,"anbete (traka, nwi)",hatian
446,annoy,anbete,hatian
447,tease,anbete,hatian
448,(v) ravel,anbouye,hatian
449,embrace,anbrase (kwoke),hatian
450,assign,anchaje,hatian
451,rapt,anchante (antouzyas),hatian
452,in,"andedan (a, an)",hatian
453,inside,andedan,hatian
454,within,andedan,hatian
455,external,andeyò,hatian
456,handicap,andikap,hatian
457,disable,andikape (enfim),hatian
458,endurance,andirans,hatian
459,anesthetize,andòmi (anestezi),hatian
460,sedate,andòmi,hatian
461,sleep (to put to sleep),andòmi,hatian
462,jam,andouteyaj,hatian
463,place n,andwa,hatian
464,year,ane (lane),hatian
465,anesthetize,anestezi,hatian
466,anesthesia,anestezi,hatian
467,behalf,anfavè,hatian
468,emphasis,anfaz,hatian
469,finally,"anfen (a la fen, alè ki le, finalman)",hatian
470,swell,anfle,hatian
471,(adj) fine,anfòm (fen),hatian
472,engage,angaje (foure),hatian
473,involvement,angajman,hatian
474,angle,angl (aspè),hatian
475,English,angle,hatian
476,cancel,anile,hatian
477,animal,"animal (zannimo, bèt, animo)",hatian
478,host,animatè (mètkay),hatian
479,brisk,anime,hatian
480,animal,animo,hatian
481,anniversary,anivèsè,hatian
482,birthday,anivèsè,hatian
483,pleasant,anizan,hatian
484,quart,"anka (ka galon, ka)",hatian
485,frame,ankadreman,hatian
486,none,ankal,hatian
487,numb,ankiloze (dòmi),hatian
488,(v) include,ankli,hatian
489,including,ankli,hatian
490,yet,anko (toujou),hatian
491,anew,ankò (anouvo),hatian
492,afresh,ankò (a nouvo),hatian
493,again,ankò,hatian
494,(v) crowd,ankonbre,hatian
495,overcome,ankonbre,hatian
496,(v) cheer,ankouraje (aplodi),hatian
497,urge,ankouraje (rekòmande),hatian
498,encourage,ankouraje,hatian
499,anxiety,anksyete,hatian
500,atop,anlè (soutèt),hatian
501,above,anlè (soutèt),hatian
502,up,"anlè (anro, soutèt)",hatian
503,over,anlè,hatian
504,surface,anlè,hatian
505,upstairs,anlè,hatian
506,abduct,anlve,hatian
507,bitter,anmè,hatian
508,pay,anmèdan,hatian
509,bother,"anmède (anbete, traka, nwi)",hatian
510,annoy,anmède (anbete),hatian
511,(v) peeve,anmède,hatian
512,let's,ann (annou),hatian
513,a bunch,ann,hatian
514,early,annavans,hatian
515,just (in time),annik,hatian
516,just,annik,hatian
517,annoy,"anniye (anmède, anbete)",hatian
518,(v) bore,anniye,hatian
519,golden,annò,hatian
520,let's,annou,hatian
521,announce,anonse,hatian
522,anew,anouvo,hatian
523,(v) pack,anpakte (anbale),hatian
524,impeach,"anpeche, revoke",hatian
525,deter,anpeche,hatian
526,prevent,anpeche,hatian
527,(adj) fancy,anpenpan,hatian
528,"very (much),","anpil (trè, bien)",hatian
529,(adj) many,anpil (plizye),hatian
530,most,anpil (plis),hatian
531,(a) lot,anpil,hatian
532,(adj) bunch,anpil,hatian
533,much,anpil,hatian
534,plenty,anpil,hatian
535,in place,anplas,hatian
536,moreover,anplis,hatian
537,(v) employ,anplwaye,hatian
538,employee,anplwaye,hatian
539,pocket v,anpoche,hatian
540,loan,anpren (v. prete),hatian
541,haste,anpresman,hatian
542,zeal,anprèsman,hatian
543,jail (to put in jail),anprizone,hatian
544,imprison,anprizone,hatian
545,imprisonment,anprizonnman,hatian
546,(v) poison,anpwazonnen,hatian
547,late,anreta (adv. ta),hatian
548,overdue,anreta,hatian
549,enrich,anrichi,hatian
550,up,anro (soutèt),hatian
551,over,anro (anlè),hatian
552,enroll,anrole (rekrite),hatian
553,(v) draft,anrole,hatian
554,along,ansanm,hatian
555,together,ansanm,hatian
556,healthy,ansante,hatian
557,cancer,ansè,hatian
558,circular,ansèk,hatian
559,(adj) secure,ansekirite,hatian
560,pregnant,ansent (gròs),hatian
561,expecting,ansent (gwòs),hatian
562,teach,anseye,hatian
563,assignment,ansèyman,hatian
564,(v) desire,ansi (vle),hatian
565,uneven,ansibreka,hatian
566,bewitch,ansòsele,hatian
567,former,ansyen,hatian
568,between,"ant (nan mitan, omilye)",hatian
569,burial,antèman,hatian
570,bury,antere,hatian
571,caption,antèt (lejand),hatian
572,determined,antete,hatian
573,environment,antouraj,hatian
574,surrounding,antouraj,hatian
575,encircle,antoure,hatian
576,surround,antoure,hatian
577,rapt,antouzyas,hatian
578,athwart,antravè,hatian
579,entrance,antre (pòt),hatian
580,come in,antre,hatian
581,enter,antre,hatian
582,penetrate,antre,hatian
583,zest,antren,hatian
584,enterprise,antrepriz,hatian
585,venture,antrepriz,hatian
586,anthropology,antropoloji,hatian
587,entire,antye (tout),hatian
588,whole,antye (tout),hatian
589,before,anvan,hatian
590,(v) flood,anvayi,hatian
591,quite,anverite (tou),hatian
592,crave,anvi,hatian
593,birthmark,anvi,hatian
594,envy,anvi,hatian
595,to feel like,anvi,hatian
596,want,anvi,hatian
597,around,anviron (anviwon),hatian
598,environment,anviwènman (antouraj),hatian
599,around,anviwon,hatian
600,casing,"anvlòp, aman",hatian
601,(n) envelope,anvlòp,hatian
602,envious,anvye,hatian
603,annual,"anyèl (chak ane, lan)",hatian
604,nothing,anyen,hatian
605,aloud,aotvwa (byen fò),hatian
606,be on one's way,ap rive; an rout,hatian
607,(adj) separate,apa (separe),hatian
608,(v) pace,apante,hatian
609,(adv) mere,apèn,hatian
610,appendix,apendis,hatian
611,high,apik,hatian
612,lean,apiye,hatian
613,application,aplikasyon,hatian
614,(v) clap,aplodi (bat bravo),hatian
615,(v) cheer,aplodi,hatian
616,learn,aprann,hatian
617,after,apre (dèyè),hatian
618,the day after tomorrow,aprè demen,hatian
619,afternoon,aprèmidi,hatian
620,appreciate,apresye,hatian
621,apprehend,apreyande (arete),hatian
622,(n) approach,apròch (fason),hatian
623,approach,apròch fason,hatian
624,(v) approach,aproche,hatian
625,(adj) approximate,aproksimatif,hatian
626,(v) approximate,aproksime,hatian
627,about,apropo (a),hatian
628,approve,aprouve,hatian
629,cater,aprovizyone,hatian
630,ability,aptitud,hatian
631,apt,aptopriye,hatian
632,ripe,apwen,hatian
633,careful,apwofondi,hatian
634,art,"ar, la",hatian
635,herring,aran,hatian
636,arrest,arestasyon,hatian
637,apprehend,arete,hatian
638,apprehend,arete,hatian
639,(v) arrest,arete,hatian
640,(v) book,arete,hatian
641,detain,arete,hatian
642,barren,arid (steril),hatian
643,infertile,arid,hatian
644,arrogant,arogan,hatian
645,round,arondi,hatian
646,baste,aroze,hatian
647,artificial,artifisyèl,hatian
648,idle,aryenafè,hatian
649,assembly,asanble,hatian
650,killer,asasen,hatian
651,assail,asayi (atake),hatian
652,ample,"ase (gran, laj , sifizan)",hatian
653,plenty,ase (anpil),hatian
654,quite,"ase (anverite, tou)",hatian
655,enough,ase (kont),hatian
656,(adj) enough,ase,hatian
657,(n) relish,asezonman,hatian
658,asphalt,asfalt,hatian
659,pavement,asfalt,hatian
660,acid,asid,hatian
661,confident,asire (gen konfyans),hatian
662,assure,asire,hatian
663,sure,asire,hatian
664,help,asistans (v. ede),hatian
665,assistance,asistans,hatian
666,association,asosyasyon,hatian
667,(v) associate,asosye,hatian
668,angle,aspè,hatian
669,aspect,aspè,hatian
670,asterick,asteris*,hatian
671,evening,"aswè (sware, swa)",hatian
672,tonight,aswè,hatian
673,steel,asye,hatian
674,besiege,asyeje,hatian
675,dish,asyèt (plat),hatian
676,batter,at pou fri,hatian
677,brace,atach,hatian
678,(v) brace,atach,hatian
679,bow,"atak (peryòd, kriz)",hatian
680,(n) raid,atak (razya),hatian
681,assail,atake,hatian
682,attack,atake,hatian
683,(n) attention,atansyon,hatian
684,careful,atantif (apwofondi),hatian
685,attain,atenn (rive),hatian
686,(v) reach,"atenn (rive, jwenn)",hatian
687,land,atèri,hatian
688,(v) land,atèri,hatian
689,witness,ateste (wè),hatian
690,attest,ateste,hatian
691,boat,atifisyèl,hatian
692,article,atik,hatian
693,allure,atire,hatian
694,attract,atire,hatian
695,artistic,atistik,hatian
696,mood,atitid,hatian
697,attitude,atitud,hatian
698,mood,atmosfè (atitid),hatian
699,atmosphere,atmosfè,hatian
700,then,atò,hatian
701,atomic,atomik,hatian
702,desperate,atoufè,hatian
703,grasp,atrab,hatian
704,across,atravè,hatian
705,atrocious,atròs,hatian
706,riot,atroupman,hatian
707,will,av,hatian
708,(v) will,ava (va),hatian
709,avaricious,ava,hatian
710,(n) vagabond,avadra,hatian
711,avouch,avalide,hatian
712,advance,avalwa,hatian
713,before,avan (anvan),hatian
714,dawn,avanjou,hatian
715,(n) advance,avans (avalwa),hatian
716,(v) advance,avanse (bay avalwa),hatian
717,promote,avanse (monte grad),hatian
718,forward,avanse,hatian
719,advantage,avantij,hatian
720,"(n) blind, to blind",avèg (je pete),hatian
721,(adj) blind,avèg,hatian
722,dazzle,avegle (pete) je,hatian
723,with,avèk,hatian
724,admonish,avèti,hatian
725,warning,avètisman,hatian
726,notice,avi (notis),hatian
727,avid,avid (grangou),hatian
728,debase,avili,hatian
729,future,avni (lavni),hatian
730,avenue,avnu,hatian
731,esquire,avoka,hatian
732,April,avril,hatian
733,abrupt,"avrip (brid sou kou, bripbrip)",hatian
734,oat,avwan,hatian
735,plane (airplane),avyon,hatian
736,irrigate,awoze,hatian
737,tailor,ayè,hatian
738,Haiti,Ayiti (Peyi Dayiti),hatian
739,Souteast Asia,Azi di Disès,hatian
740,East Asia,Azi de Lès,hatian
741,haven,azil,hatian
742,asylum,azil,hatian
743,low,ba,hatian
744,ring,bag,hatian
745,item,bagay,hatian
746,object,bagay,hatian
747,thing,bagay,hatian
748,scale,balans,hatian
749,broom,bale,hatian
750,vaccum cleaner,bale elektrik,hatian
751,ball,balon,hatian
752,bartender,bamann,hatian
753,bank,bank,hatian
754,gate,baryè,hatian
755,beat,bat,hatian
756,boat,bato,hatian
757,give,bay,hatian
758,base,baz,hatian
759,beef,bèf,hatian
760,"cattle, cow",bèf,hatian
761,nice,bèl,hatian
762,cute,bèl,hatian
763,pretty,bèl,hatian
764,beautiful,bèl,hatian
765,mother-in-law,bèlmè,hatian
766,bauty,bèlte,hatian
767,benefit,benefis,hatian
768,profit,benefis,hatian
769,eggplant,berejèn,hatian
770,seafood,bètlanmè,hatian
771,beet,bètrav,hatian
772,need,bezwen,hatian
773,urge,bezwen prese,hatian
774,purpose,bi,hatian
775,goal,bi,hatian
776,library,bibliotèk,hatian
777,jewelry,bijou,hatian
778,building,bilding,hatian
779,bicycle,bisiklèt,hatian
780,registrar's office,biwo enskripsyon,hatian
781,office,biwo,hatian
782,balloon,blad,hatian
783,joke,blag,hatian
784,white,blan,hatian
785,blue,ble,hatian
786,wheat,ble,hatian
787,"wound, cut",blese,hatian
788,kiss,bo,hatian
789,son-in-law,bofis,hatian
790,stepbrother,bòfrè,hatian
791,jar,kokal,hatian
792,bucket,bokit,hatian
793,bowl,bòl,hatian
794,maid,bòn,hatian
795,tasty,bon gou,hatian
796,goodwill,bon volonte,hatian
797,God,Bondye,hatian
798,dull,bone,hatian
799,early,bonè,hatian
800,pots and pans,bonm ak chodyè,hatian
801,kettle,bonm,hatian
802,cheap,bonmache,hatian
803,father-in-law,bòpè,hatian
804,stepfather,bòpè,hatian
805,employer,bòs,hatian
806,locksmith,bòs seri,hatian
807,boots,bòt,hatian
808,mouth,bouth,hatian
809,butcher,bouche,hatian
810,shut (bouche bouth ou! - shut up!),bouche,hatian
811,"baker, bakery",boulanje,hatian
812,burn,boule,hatian
813,bullet,boulèt,hatian
814,lotto,boulèt,hatian
815,bolt,boulon,hatian
816,boulevard,boulva,hatian
817,purse,bous,hatian
818,wallet,bous,hatian
819,bottle,boutèy,hatian
820,store,boutik,hatian
821,newsstand,boutik jounal,hatian
822,cufflinks,bouton pwayè,hatian
823,fog,bouya,hatian
824,boiling,bouyi,hatian
825,arm,bra,hatian
826,branch,branch,hatian
827,bracelet,braslè,hatian
828,brave,brav,hatian
829,flashy,briyan,hatian
830,shine,briye,hatian
831,wood,bwa,hatian
832,drink,bwason,hatian
833,box,bwat,hatian
834,noise,bwi,hatian
835,pin,bwòch,hatian
836,brush,bròs,hatian
837,fine,byen,hatian
838,well,byen,hatian
839,although,byenke,hatian
840,C ~ Kreyol pronunciation ( se,ce ),hatian
841,cab,taksi,hatian
842,cabbage,chou,hatian
843,cabin,kabin,hatian
844,cable,"kab, telegram",hatian
845,cache,kachèt,hatian
846,cadence,kadans,hatian
847,cafe,"kafe, bwat",hatian
848,cage,kalòj,hatian
849,cake,gato,hatian
850,calamity,kalamite,hatian
851,calculate,kalkile,hatian
852,calf,ti bèf,hatian
853,California,Kalifòni,hatian
854,call,v rele,hatian
855,call 555-5555,rele nan 555- 5555,hatian
856,callous,"di, rèd, san pitye",hatian
857,calm,kalm,hatian
858,camel,chamo,hatian
859,camera,"kamera, kodak",hatian
860,camp,n kanpman,hatian
861,camp,"v desann, poze pye",hatian
862,campaign,kanpagn,hatian
863,can,n kanistè,hatian
864,can,v kapab,hatian
865,cancel,anile,hatian
866,cancer,kansè,hatian
867,candid,fran,hatian
868,candidate,kandida,hatian
869,candle,chandèl,hatian
870,candy,"sirèt, bonbon",hatian
871,cane,kann,hatian
872,canteen,kantin,hatian
873,canvas,n twal,hatian
874,cap,berè,hatian
875,capable,konpetan,hatian
876,capacity,kapacite,hatian
877,capital,kapital,hatian
