,creole_word,word,creole name
8,"ashté, ashèt",['buy'],Louisiana Creole
9,asit,['sit'],Louisiana Creole
10,astœr,['now'],Louisiana Creole
11,aswa,['tonight'],Louisiana Creole
12,aværti,['warn'],Louisiana Creole
13,avan,['before'],Louisiana Creole
14,"avansé, avans",['progress'],Louisiana Creole
15,avèk,['with'],Louisiana Creole
16,avril,['April'],Louisiana Creole
0,babìnn,['lip'],Louisiana Creole
1,bæk,['back'],Louisiana Creole
2,bal,['dance (social gathering)'],Louisiana Creole
3,balé,['broom'],Louisiana Creole
4,"balé, bal",['sweep'],Louisiana Creole
5,"baloté, balot",['stagger'],Louisiana Creole
6,(la)bank,['bank'],Louisiana Creole
7,banndjo,['banjo'],Louisiana Creole
8,(la)barb,['beard'],Louisiana Creole
9,barbi,['catfish'],Louisiana Creole
10,"barbouyé, barbouy","['dirty', ' get dirty']",Louisiana Creole
11,"baré, bar","['lock', ' block']",Louisiana Creole
12,bat,"['fight', ' beat']",Louisiana Creole
13,bati,['build'],Louisiana Creole
14,batimen,['ship'],Louisiana Creole
15,batimen-d-ær,['airplane'],Louisiana Creole
16,batis,['building'],Louisiana Creole
17,bato,['boat'],Louisiana Creole
18,baton,['stick'],Louisiana Creole
19,baton-mayi,['nphrcornstalk'],Louisiana Creole
20,bayou,['bayou'],Louisiana Creole
21,bèf,['cow'],Louisiana Creole
22,bèl,['beautiful'],Louisiana Creole
23,bèl,"['girlfriend', ' female lover']",Louisiana Creole
24,bèl-fiy,['daughter-in-law'],Louisiana Creole
0,bèl-mær,"['mother-in-law', ' stepmother']",Louisiana Creole
1,bèl-sœr,['sister-in-law'],Louisiana Creole
2,béñé,['beignet'],Louisiana Creole
3,"bèñé, bèñ","['swim', ' bathe']",Louisiana Creole
4,bèt,"['stupid', ' animal']",Louisiana Creole
5,bétay,['livestock'],Louisiana Creole
6,bezwin,['need'],Louisiana Creole
7,(La)Bib,['Bible'],Louisiana Creole
8,bisik,['bicycle'],Louisiana Creole
9,biy,['bead'],Louisiana Creole
10,blan,['white'],Louisiana Creole
11,blanshi,['whitewash'],Louisiana Creole
12,"blèsé, blès",['injure'],Louisiana Creole
13,"bliyé, bliy",['forget'],Louisiana Creole
14,bo-fis,['son-in-law'],Louisiana Creole
15,bo-frær,['brother-in-law'],Louisiana Creole
16,bo-pær,"['father-in-law', ' stepfather']",Louisiana Creole
17,bokou,"['many', ' very']",Louisiana Creole
18,bòl,['bowl'],Louisiana Creole
19,bon,['good'],Louisiana Creole
20,bon-marshé,['cheap'],Louisiana Creole
21,Bondjè,['God'],Louisiana Creole
22,bonjou,['interjhello'],Louisiana Creole
23,Bonn fèt!,['phrHappy birthday!'],Louisiana Creole
24,bonn-aryin,['good-for-nothing'],Louisiana Creole
0,bonnœr,['early'],Louisiana Creole
1,bonswa,"['interjgood evening', ' good night']",Louisiana Creole
2,bòs,['boss'],Louisiana Creole
3,boskoyo,['cypress knee'],Louisiana Creole
4,bòt,['boots'],Louisiana Creole
5,(la)bou,['mud'],Louisiana Creole
6,boudin,['boudin (sausage)'],Louisiana Creole
7,boug,"['guy', ' man']",Louisiana Creole
8,"bouklé, bouk",['buckle'],Louisiana Creole
9,(la)boukònn,['smoke'],Louisiana Creole
10,boukònné,"['smoke (meat)', ' smoked']",Louisiana Creole
11,"boulværsé, boulværs","['upset', ' change suddenly']",Louisiana Creole
12,bounda,['butt'],Louisiana Creole
13,(la)boush,['mouth'],Louisiana Creole
14,(la)boushri,['boucherie'],Louisiana Creole
15,bout,['end (of object)'],Louisiana Creole
16,bout-d-tem,['nphra while'],Louisiana Creole
17,boutéy,['bottle'],Louisiana Creole
18,boutik,['store'],Louisiana Creole
19,"bouyi, bouy",['boil'],Louisiana Creole
20,bra,['arm'],Louisiana Creole
21,branshaj,"['twigs', ' kindling']",Louisiana Creole
22,brenm,['eggplant'],Louisiana Creole
23,"brilé, bril",['burn'],Louisiana Creole
24,brilmen,['burn'],Louisiana Creole
0,brilmen-lèstoma,['nphrheartburn'],Louisiana Creole
1,"briyé, briy",['shine'],Louisiana Creole
2,"brizé, briz",['shatter'],Louisiana Creole
3,bwa,['drink'],Louisiana Creole
4,bwason,['drink'],Louisiana Creole
5,bwat,['box'],Louisiana Creole
6,(la)byær,['beer'],Louisiana Creole
7,byin,"['good', ' well', ' very']",Louisiana Creole
0,bèl-mær,"['mother-in-law', ' stepmother']",Louisiana Creole
1,bèl-sœr,['sister-in-law'],Louisiana Creole
2,béñé,['beignet'],Louisiana Creole
3,"bèñé, bèñ","['swim', ' bathe']",Louisiana Creole
4,bèt,"['stupid', ' animal']",Louisiana Creole
5,bétay,['livestock'],Louisiana Creole
6,bezwin,['need'],Louisiana Creole
7,(La)Bib,['Bible'],Louisiana Creole
8,bisik,['bicycle'],Louisiana Creole
9,biy,['bead'],Louisiana Creole
10,blan,['white'],Louisiana Creole
11,blanshi,['whitewash'],Louisiana Creole
12,"blèsé, blès",['injure'],Louisiana Creole
13,"bliyé, bliy",['forget'],Louisiana Creole
14,bo-fis,['son-in-law'],Louisiana Creole
15,bo-frær,['brother-in-law'],Louisiana Creole
16,bo-pær,"['father-in-law', ' stepfather']",Louisiana Creole
17,bokou,"['many', ' very']",Louisiana Creole
18,bòl,['bowl'],Louisiana Creole
19,bon,['good'],Louisiana Creole
20,bon-marshé,['cheap'],Louisiana Creole
21,Bondjè,['God'],Louisiana Creole
22,bonjou,['interjhello'],Louisiana Creole
23,Bonn fèt!,['phrHappy birthday!'],Louisiana Creole
24,bonn-aryin,['good-for-nothing'],Louisiana Creole
0,ça,"['prothat', ' what', ' it', ' they']",Louisiana Creole
1,ça-fé,['so'],Louisiana Creole
2,ça...?,['what...?'],Louisiana Creole
3,-ça(la)yé,['detthose'],Louisiana Creole
4,-çala,['detthat'],Louisiana Creole
5,çé,['be'],Louisiana Creole
6,çé té,['it was'],Louisiana Creole
7,chak,['drunk'],Louisiana Creole
8,"chaké, chak",['get drunk'],Louisiana Creole
9,"chéké, chèk",['check'],Louisiana Creole
10,chi,['-chinsfxemphatic possessive'],Louisiana Creole
11,(la)chirout,['diarrhea'],Louisiana Creole
12,chombo,['hold'],Louisiana Creole
13,"choué, chou",['kill'],Louisiana Creole
14,-çi(la)yé,['detthese'],Louisiana Creole
15,-çila,['detthis'],Louisiana Creole
0,d(e),"['from', ' of']",Louisiana Creole
1,dærñær,['last'],Louisiana Creole
2,dæryær,['behind'],Louisiana Creole
3,dakòr,['agreed'],Louisiana Creole
4,dan,['in'],Louisiana Creole
5,"dansé, dans",['dance'],Louisiana Creole
6,dé,['two'],Louisiana Creole
7,dê,['some'],Louisiana Creole
8,débout,"['standing', ' awake']",Louisiana Creole
9,défi,['challenge'],Louisiana Creole
10,défwa,['sometimes'],Louisiana Creole
11,dégouté,"['disgusted', ' depressed']",Louisiana Creole
12,"déjœné, déjœn","['breakfast', ' eat breakfast']",Louisiana Creole
13,dékourajé,"['discouraged', ' discourage']",Louisiana Creole
14,"déménajé, déménaj",['move house'],Louisiana Creole
15,demi,['half (used in telling time)'],Louisiana Creole
16,démin,['démoushmoush'],Louisiana Creole
17,den,['tooth'],Louisiana Creole
18,dépi,['dépwarpwar'],Louisiana Creole
19,désann,"['go down', ' get off']",Louisiana Creole
0,désemb,['déshoushou'],Louisiana Creole
1,dési,"['on top', ' over']",Louisiana Creole
2,dèt,"['be (imperative)', ' be (infinitive)']",Louisiana Creole
3,"détèsté, détès",['déværvær'],Louisiana Creole
4,dévan,['in front of'],Louisiana Creole
5,déyòr,['dézozo'],Louisiana Creole
6,dézolé,['sorry'],Louisiana Creole
7,dézòrd,['dézwitzwit'],Louisiana Creole
8,dèzyèm,['second'],Louisiana Creole
9,di,"['say', ' tell']",Louisiana Creole
10,dibœr,['butter'],Louisiana Creole
11,dibonm,['mint'],Louisiana Creole
12,dibwa,"['wood', ' woods']",Louisiana Creole
13,difé,['fire'],Louisiana Creole
14,diféren,['different'],Louisiana Creole
15,diférens,['difference'],Louisiana Creole
16,difwin,['hay'],Louisiana Creole
17,digri,['grits'],Louisiana Creole
0,diji,['juice'],Louisiana Creole
1,dilé,['milk'],Louisiana Creole
2,dimansh,['Sunday'],Louisiana Creole
3,Dimansh Ramo,['nphrPalm Sunday'],Louisiana Creole
4,dimyèl,['honey'],Louisiana Creole
5,"diné, dinn","['lunch', ' eat lunch']",Louisiana Creole
6,dipin,['bread'],Louisiana Creole
7,"diré, dir",['last (for a while)'],Louisiana Creole
8,diri,['rice'],Louisiana Creole
9,dis,['ten'],Louisiana Creole
10,dis-sèt,['seventeen'],Louisiana Creole
11,disan,['blood'],Louisiana Creole
12,disik,['sugar'],Louisiana Creole
13,dité,['tea'],Louisiana Creole
14,diven,['wind'],Louisiana Creole
15,divin,['wine'],Louisiana Creole
16,diz-nèf,['nineteen'],Louisiana Creole
17,diz-wit,['eighteen'],Louisiana Creole
18,djaz,['jazz'],Louisiana Creole
19,djèp,['wasp'],Louisiana Creole
20,djòb,['job'],Louisiana Creole
21,(la)djœl,['mouth (informal)'],Louisiana Creole
22,djòg,['jug'],Louisiana Creole
23,do,['interjthough (discourse particle)'],Louisiana Creole
24,dolo,['water'],Louisiana Creole
0,dolo ho,['nphrflood'],Louisiana Creole
1,domaj,"['shame', ' damage']",Louisiana Creole
2,donn,['give'],Louisiana Creole
3,"dòrmi, dòr",['sleep'],Louisiana Creole
4,dòt,['other'],Louisiana Creole
5,dou,['sweet'],Louisiana Creole
6,dousmen,"['slow', ' slowly']",Louisiana Creole
7,douz,['twelve'],Louisiana Creole
8,drèt-la,"['right here', ' right then']",Louisiana Creole
9,dri,"['thick (with)', ' heavy']",Louisiana Creole
10,dròl,"['funny', ' weird']",Louisiana Creole
11,drwa,['right'],Louisiana Creole
12,dur,"['hard', ' difficult']",Louisiana Creole
13,dursi,['harden'],Louisiana Creole
14,dwa,"['have to', ' must']",Louisiana Creole
15,dwa,['finger'],Louisiana Creole
0,désemb,['déshoushou'],Louisiana Creole
1,dési,"['on top', ' over']",Louisiana Creole
2,dèt,"['be (imperative)', ' be (infinitive)']",Louisiana Creole
3,"détèsté, détès",['déværvær'],Louisiana Creole
4,dévan,['in front of'],Louisiana Creole
5,déyòr,['dézozo'],Louisiana Creole
6,dézolé,['sorry'],Louisiana Creole
7,dézòrd,['dézwitzwit'],Louisiana Creole
8,dèzyèm,['second'],Louisiana Creole
9,di,"['say', ' tell']",Louisiana Creole
10,dibœr,['butter'],Louisiana Creole
11,dibonm,['mint'],Louisiana Creole
12,dibwa,"['wood', ' woods']",Louisiana Creole
13,difé,['fire'],Louisiana Creole
14,diféren,['different'],Louisiana Creole
15,diférens,['difference'],Louisiana Creole
16,difwin,['hay'],Louisiana Creole
17,digri,['grits'],Louisiana Creole
0,é,['and'],Louisiana Creole
1,"èdé, èd",['help'],Louisiana Creole
2,ègzamp,['example'],Louisiana Creole
3,ékan,['when'],Louisiana Creole
4,ékri,['write'],Louisiana Creole
5,èksplozé,['explode'],Louisiana Creole
6,èl,"['proshe', ' her (object and subject pronoun)']",Louisiana Creole
7,"èlvé, (è)lèv","['raise', ' grow']",Louisiana Creole
8,embarasé,"['bother', ' embarrass']",Louisiana Creole
9,"embrasé, embras","['hug', ' kiss']",Louisiana Creole
10,en,"['on', ' in']",Louisiana Creole
11,enba,"['below', ' under']",Louisiana Creole
12,endan,['inside'],Louisiana Creole
13,endéyòr,"['outside', ' outside of']",Louisiana Creole
14,èndjòy,['enjoy'],Louisiana Creole
15,enfamiy,['pregnant'],Louisiana Creole
16,enho,"['on', ' above']",Louisiana Creole
17,enkòr,['yet'],Louisiana Creole
18,enlær,"['up', ' on', ' above']",Louisiana Creole
19,"enmærdé, enmærd",['annoy'],Louisiana Creole
20,ènn-a-lòt,['each other'],Louisiana Creole
21,ennaryær,"['in back', ' behind']",Louisiana Creole
22,ennavan,['in front of'],Louisiana Creole
23,ennwiyé,"['bored', ' lonesome']",Louisiana Creole
24,ensenm,['together'],Louisiana Creole
0,Envil,['New Orleans'],Louisiana Creole
1,épi,['and'],Louisiana Creole
2,épis,['spice'],Louisiana Creole
3,éroplènn,['airplane'],Louisiana Creole
4,èske,['do you...?'],Louisiana Creole
5,"èskizé, èskiz",['excuse'],Louisiana Creole
6,èspær (pou),['wait (for)'],Louisiana Creole
7,"étærné, étærn",['sneeze'],Louisiana Creole
8,étidyan,['student'],Louisiana Creole
9,"étidyé, étidi",['study'],Louisiana Creole
10,étòné,['surprised'],Louisiana Creole
11,"étoufé, étouf","['stew', ' smother']",Louisiana Creole
12,éyou,['where'],Louisiana Creole
0,Envil,['New Orleans'],Louisiana Creole
1,épi,['and'],Louisiana Creole
2,épis,['spice'],Louisiana Creole
3,éroplènn,['airplane'],Louisiana Creole
4,èske,['do you...?'],Louisiana Creole
5,"èskizé, èskiz",['excuse'],Louisiana Creole
6,èspær (pou),['wait (for)'],Louisiana Creole
7,"étærné, étærn",['sneeze'],Louisiana Creole
8,étidyan,['student'],Louisiana Creole
9,"étidyé, étidi",['study'],Louisiana Creole
10,étòné,['surprised'],Louisiana Creole
11,"étoufé, étouf","['stew', ' smother']",Louisiana Creole
12,éyou,['where'],Louisiana Creole
0,fær-a-shwal,['horseshoe'],Louisiana Creole
1,"færmé, færm","['close', ' shut']",Louisiana Creole
2,famiy,['family'],Louisiana Creole
3,faroush,"['wild', ' untamed']",Louisiana Creole
4,fé,"['do', ' make']",Louisiana Creole
5,fé (sô) dévwa,"[""do one's homework""]",Louisiana Creole
6,fé (sô) lapriyè,"[""say (one's) prayers"", ' pray']",Louisiana Creole
7,fé (sô) ménaj,"[""do one's chores""]",Louisiana Creole
8,fé atensyon,['be careful'],Louisiana Creole
9,fé fars,['joke'],Louisiana Creole
10,fé grosri,['go grocery shopping'],Louisiana Creole
11,fé kado,['give as a gift'],Louisiana Creole
12,fé kòmærs,"['cause trouble', ' make a mess']",Louisiana Creole
13,fé lakònésans (avèk),['meet (someone for the first time)'],Louisiana Creole
14,fé lakour,"['court', ' date']",Louisiana Creole
15,fé lougarou,['stay out late gallivanting'],Louisiana Creole
16,fé mal,['hurt'],Louisiana Creole
17,fé rékòlt,['farm'],Louisiana Creole
18,fé særmen,['swear'],Louisiana Creole
19,fé siñ lakrwa,['cross yourself'],Louisiana Creole
20,fé sô nidé,"[""make up one's mind""]",Louisiana Creole
21,fé sosyété,['throw a party'],Louisiana Creole
22,fé trin,['complain'],Louisiana Creole
23,fé zan,['turn (an age)'],Louisiana Creole
24,fé zyé dou (apré),['make eyes (at)'],Louisiana Creole
0,fèb,['weak'],Louisiana Creole
1,fenm,"['woman', ' wife']",Louisiana Creole
2,(la)fèt,"['birthday', ' party', ' holiday']",Louisiana Creole
3,févi,['okra'],Louisiana Creole
4,fèvriyé,['February'],Louisiana Creole
5,féy,['leaf'],Louisiana Creole
6,fid,['animal feed'],Louisiana Creole
7,(la)figur,['face'],Louisiana Creole
8,fil,"['wire', ' string']",Louisiana Creole
9,fil-a-kroshé,['barbed wire'],Louisiana Creole
10,filé,['filé'],Louisiana Creole
11,fim,['hungry'],Louisiana Creole
12,"fimé, fimm",['smoke tobacco'],Louisiana Creole
13,fimyé,['manure'],Louisiana Creole
14,fin,['end'],Louisiana Creole
15,fin-lasmèn,['weekend'],Louisiana Creole
16,(la)finèt,['window'],Louisiana Creole
17,fini,"['finish', ' complete']",Louisiana Creole
18,fiy,"['girl', ' daughter']",Louisiana Creole
19,fiyèl,['goddaughter'],Louisiana Creole
20,fiyo,['godson'],Louisiana Creole
21,flèri,['bloom'],Louisiana Creole
22,flœr,['flower'],Louisiana Creole
23,fo,['false'],Louisiana Creole
24,fò,['pho (Vietnamese soup)'],Louisiana Creole
0,fon,"['deep', ' depths']",Louisiana Creole
1,fonn,['fun'],Louisiana Creole
2,fonn,['phone'],Louisiana Creole
3,"fònné, fònn",['wilt'],Louisiana Creole
4,fonsé,['dark (of color)'],Louisiana Creole
5,fòr,"['strong', ' loud']",Louisiana Creole
6,foré,['forest'],Louisiana Creole
7,(la)fot,['fault'],Louisiana Creole
8,fou,['crazy'],Louisiana Creole
9,fou,['oven'],Louisiana Creole
10,fou pa mal,"['not care', "" not give a flyin' fiddlestick""]",Louisiana Creole
11,foursh,['pitchfork'],Louisiana Creole
12,fourshèt,['fork (for eating)'],Louisiana Creole
13,foutimen,['extremely'],Louisiana Creole
14,frær,['brother'],Louisiana Creole
15,Françé; françé,['French'],Louisiana Creole
16,frédi,['get cold'],Louisiana Creole
17,frèsh,"['fresh', ' cool']",Louisiana Creole
18,(la)frèsh,"['breeze', ' shade', ' relief']",Louisiana Creole
19,frèt,['cold'],Louisiana Creole
20,fri,['fry'],Louisiana Creole
21,"frikasé, frikas","['fricassee', ' stew', ' stew']",Louisiana Creole
22,fromaj,['cheese'],Louisiana Creole
23,frwi,['fruit'],Louisiana Creole
24,fwa,['time'],Louisiana Creole
0,fyær,['proud'],Louisiana Creole
1,fyansé,['engaged'],Louisiana Creole
0,fèb,['weak'],Louisiana Creole
1,fenm,"['woman', ' wife']",Louisiana Creole
2,(la)fèt,"['birthday', ' party', ' holiday']",Louisiana Creole
3,févi,['okra'],Louisiana Creole
4,fèvriyé,['February'],Louisiana Creole
5,féy,['leaf'],Louisiana Creole
6,fid,['animal feed'],Louisiana Creole
7,(la)figur,['face'],Louisiana Creole
8,fil,"['wire', ' string']",Louisiana Creole
9,fil-a-kroshé,['barbed wire'],Louisiana Creole
10,filé,['filé'],Louisiana Creole
11,fim,['hungry'],Louisiana Creole
12,"fimé, fimm",['smoke tobacco'],Louisiana Creole
13,fimyé,['manure'],Louisiana Creole
14,fin,['end'],Louisiana Creole
15,fin-lasmèn,['weekend'],Louisiana Creole
16,(la)finèt,['window'],Louisiana Creole
17,fini,"['finish', ' complete']",Louisiana Creole
18,fiy,"['girl', ' daughter']",Louisiana Creole
19,fiyèl,['goddaughter'],Louisiana Creole
20,fiyo,['godson'],Louisiana Creole
21,flèri,['bloom'],Louisiana Creole
22,flœr,['flower'],Louisiana Creole
23,fo,['false'],Louisiana Creole
24,fò,['pho (Vietnamese soup)'],Louisiana Creole
0,galimacha,"['jumble', ' mess']",Louisiana Creole
1,galopé laboush,"['chatter', "" run one's mouth""]",Louisiana Creole
2,"galopé, galòp","['run', ' manage']",Louisiana Creole
3,(la)galri,['porch'],Louisiana Creole
4,"ganñé, ganñ","['win', ' earn']",Louisiana Creole
5,gar-manjé,['pantry'],Louisiana Creole
6,garaj,['garage'],Louisiana Creole
7,garçon,"['boy', ' son']",Louisiana Creole
8,"gardé, gar","['look at', ' seem like', ' watch']",Louisiana Creole
9,"garoshé, garòsh",['throw'],Louisiana Creole
10,gato,['cake (general)'],Louisiana Creole
11,gayar,['healthy'],Louisiana Creole
12,gazolinn,['gasoline'],Louisiana Creole
13,gém,['game'],Louisiana Creole
14,géri,"['heal', ' cure']",Louisiana Creole
15,gérison,['cure'],Louisiana Creole
16,"gèté, gèt","['watch', ' look at']",Louisiana Creole
17,gin,['have'],Louisiana Creole
18,gin drwa,['allowed to'],Louisiana Creole
19,gin lashans,['lucky'],Louisiana Creole
20,gin lè,"['seem', ' appear']",Louisiana Creole
21,gin pœr,['afraid'],Louisiana Creole
22,gin pou,['have to'],Louisiana Creole
23,gin rézon,['right'],Louisiana Creole
24,gin toupé,['have nerve'],Louisiana Creole
0,gita,['guitar'],Louisiana Creole
1,(la)glas,"['ice', ' ice cream', ' frost']",Louisiana Creole
2,glasyær,['refrigerator'],Louisiana Creole
3,(la)gli,['slime'],Louisiana Creole
4,gogo,['butt'],Louisiana Creole
5,Gòlf,['Gulf of Mexico'],Louisiana Creole
6,gombo,['gumbo'],Louisiana Creole
7,gonn,"['leave', ' gone']",Louisiana Creole
8,gosh,"['left (as opposed to right)', ' awkward', ' clumsy']",Louisiana Creole
9,gout,['drop'],Louisiana Creole
10,"gouté, gou",['taste'],Louisiana Creole
11,gran,"['big', ' tall']",Louisiana Creole
12,gran-mær/gran-moman,['grandmother/grandma'],Louisiana Creole
13,gran-moun,['grow-up'],Louisiana Creole
14,gran-ouvær,['adjphrwide open'],Louisiana Creole
15,gran-pær/gran-popa,['grandfather/grandpa'],Louisiana Creole
16,gran-paren,['grandparents'],Louisiana Creole
17,gran-ti-zenfan,['great-grandchild'],Louisiana Creole
18,grandi,"['grow up', ' grow']",Louisiana Creole
19,"graté, grat",['scratch'],Louisiana Creole
20,grènn,['seed'],Louisiana Creole
21,gril,['grill'],Louisiana Creole
22,"griyé, griy","['grill', ' roast']",Louisiana Creole
23,gro,"['big', ' fat']",Louisiana Creole
24,gro tem/mové tem,"['bad weather', ' storm']",Louisiana Creole
0,grosi,"['grow', ' grow up', ' get fat']",Louisiana Creole
1,(la)grosri,['grocery store'],Louisiana Creole
2,"grouyé, grouy","['move', ' shake']",Louisiana Creole
0,gita,['guitar'],Louisiana Creole
1,(la)glas,"['ice', ' ice cream', ' frost']",Louisiana Creole
2,glasyær,['refrigerator'],Louisiana Creole
3,(la)gli,['slime'],Louisiana Creole
4,gogo,['butt'],Louisiana Creole
5,Gòlf,['Gulf of Mexico'],Louisiana Creole
6,gombo,['gumbo'],Louisiana Creole
7,gonn,"['leave', ' gone']",Louisiana Creole
8,gosh,"['left (as opposed to right)', ' awkward', ' clumsy']",Louisiana Creole
9,gout,['drop'],Louisiana Creole
10,"gouté, gou",['taste'],Louisiana Creole
11,gran,"['big', ' tall']",Louisiana Creole
12,gran-mær/gran-moman,['grandmother/grandma'],Louisiana Creole
13,gran-moun,['grow-up'],Louisiana Creole
14,gran-ouvær,['adjphrwide open'],Louisiana Creole
15,gran-pær/gran-popa,['grandfather/grandpa'],Louisiana Creole
16,gran-paren,['grandparents'],Louisiana Creole
17,gran-ti-zenfan,['great-grandchild'],Louisiana Creole
18,grandi,"['grow up', ' grow']",Louisiana Creole
19,"graté, grat",['scratch'],Louisiana Creole
20,grènn,['seed'],Louisiana Creole
21,gril,['grill'],Louisiana Creole
22,"griyé, griy","['grill', ' roast']",Louisiana Creole
23,gro,"['big', ' fat']",Louisiana Creole
24,gro tem/mové tem,"['bad weather', ' storm']",Louisiana Creole
0,(la)hansh,['hip'],Louisiana Creole
1,(la)hash,['axe'],Louisiana Creole
2,hé!,['interjhey!'],Louisiana Creole
3,"hélé, hèl","['yell', ' shout']",Louisiana Creole
4,hòl,['dancehall'],Louisiana Creole
5,hont,['shame'],Louisiana Creole
0,ibou,['owl'],Louisiana Creole
1,ifo,['phrneed to (do something)'],Louisiana Creole
2,imid,['humid'],Louisiana Creole
3,impòrtan,['important'],Louisiana Creole
4,impòsib,['impossible'],Louisiana Creole
5,in,"['one', ' a(n)']",Louisiana Creole
6,in lòt/in nòt,['another'],Louisiana Creole
7,in pe,['a little'],Louisiana Creole
8,in ta,['nphra lot'],Louisiana Creole
9,ina,['there is/are'],Louisiana Creole
10,inavé,['there was/were'],Louisiana Creole
11,inik,['unique'],Louisiana Creole
12,Insiswatil,['phrAmen'],Louisiana Creole
13,intérèsé,"['interesting', ' interested']",Louisiana Creole
14,isit,['here'],Louisiana Creole
15,italyin,['Italian'],Louisiana Creole
16,itil,['useful'],Louisiana Creole
17,itou,"['also', ' too']",Louisiana Creole
18,izé,['easy'],Louisiana Creole
19,"izé, iz",['use'],Louisiana Creole
0,jakèt,['jacket'],Louisiana Creole
1,jamb,['leg'],Louisiana Creole
2,jambalaya,['jambalaya'],Louisiana Creole
3,jamé,"['never', ' ever']",Louisiana Creole
4,janvyé,['January'],Louisiana Creole
5,"japé, jap",['bark'],Louisiana Creole
6,jardin,['garden'],Louisiana Creole
7,jardinaj,['vegetables'],Louisiana Creole
8,jédi,['Thursday'],Louisiana Creole
9,"jélé, jèl",['freeze'],Louisiana Creole
10,"jété, jèt","['throw', ' get rid of']",Louisiana Creole
11,jilyèt,['July'],Louisiana Creole
12,jish,['just'],Louisiana Creole
13,jiska,['until'],Louisiana Creole
14,(la)jistis,['justice'],Louisiana Creole
15,jnou,['knee'],Louisiana Creole
16,jœn,['young'],Louisiana Creole
17,joli,"['pretty', ' beautiful']",Louisiana Creole
18,jolimen,"['pretty much', ' essentially', ' basically']",Louisiana Creole
19,"jonglé, jong (pou/enho/apré)",['think about'],Louisiana Creole
20,jonn,['yellow'],Louisiana Creole
21,jòrdi,['today'],Louisiana Creole
22,"joué, jou",['play'],Louisiana Creole
23,jour,['day'],Louisiana Creole
24,(la)journé,"['day', ' daytime']",Louisiana Creole
0,jozé,['blouse'],Louisiana Creole
1,(la)jwa,['joy'],Louisiana Creole
2,jwènn,['meet'],Louisiana Creole
3,jwif,['Jewish'],Louisiana Creole
4,jwin,['June'],Louisiana Creole
0,jozé,['blouse'],Louisiana Creole
1,(la)jwa,['joy'],Louisiana Creole
2,jwènn,['meet'],Louisiana Creole
3,jwif,['Jewish'],Louisiana Creole
4,jwin,['June'],Louisiana Creole
0,kabinèt,['closet'],Louisiana Creole
1,kadjin,['Cajun'],Louisiana Creole
2,Kadjin,['Cajun person'],Louisiana Creole
3,kado,['gift'],Louisiana Creole
4,kafé,['coffee'],Louisiana Creole
5,kagou,['out of sorts'],Louisiana Creole
6,kaka,['poop'],Louisiana Creole
7,kalçon,['underwear'],Louisiana Creole
8,kalin,"['boyfriend', ' lover (male)', ' lazy']",Louisiana Creole
9,kalinn,"['girlfriend', ' lover (female)']",Louisiana Creole
10,kalité,"['kind', ' type', ' sort']",Louisiana Creole
