creole_word,word,creole name,
 ajebutter,Someone who is was born with a silver spoon in their mouth or who is spoilt and has not experienc...,Nigeria,
 ajepaco,someone who was brought up in the harsh way of lifealso a local champion.,Nigeria,
 ajepako,The opposite of ajebota. see ajebota,Nigeria,
 ajuwaya,A slang for serving members of the Nigerian Youth Service Corps. It is derived from the pidgin ve...,Nigeria,
 ak,The PolicePoliceman,Nigeria,
 akamu,Pap made from corn,Nigeria,
 akanchan,Stingy person.,Nigeria,
 akanuche,Wisdom or discretion.,Nigeria,
 akara,Fried cake made out of mashed black eyed peas.,Nigeria,
 akata,1. Akata is a word used to describe Black/African Americans. 2. Akata can also be used to describ...,Nigeria,
 akawo,A system of daily savings operated by an individual for small business owners.,Nigeria,
 akimbo,posture with legs or arms outward/apart or with hands resting on hips,Nigeria,
 akpalakpala,This refer to money.,Nigeria,
 akpamo,Fool,Nigeria,
 akpruka,Something Strong or Solid,Nigeria,
 akpu,flour made out cassava and further processed into a mash potato like meal. Mostly eaten by the igbos,Nigeria,
 akwa,The Great One,Nigeria,
 alan pozzer,This is a poser,Nigeria,
 alanta,a style of dance that involves raising your legs and moving your arms up and down,Nigeria,
 alarm,hunger,Nigeria,
 alaye,lagos way of saying area boy. See area boys,Nigeria,
 alert,The text message you receive when a deposit has been made to your bank account,Nigeria,
 all join,Regardless of  your choice the outcome is the same,Nigeria,
 all night,night vigil,Nigeria,
 allawee,A sum granted for any purposelike a reimbursement.,Nigeria,
 alobam,"Another way of saying ""Partner in crime"". used to refer to someone as a very close friend.",Nigeria,
 am,Replaces him or her in a sentence,Nigeria,
 amebo,1. Gossip  2. Name of a character in a Nigerian soap opera (The village headmaster)with a pench...,Nigeria,
 amiboh,A talkativeGossip or the act of pokenosing into affairs of others.,Nigeria,
 amodu,one who does work effectively but without charisma and loses all gratitude as the consequence,Nigeria,
 and co,people wearing the same costumes. It maybe twinsgroup of people or couples,Nigeria,
 andypipi ,Nickname for Andrew ,Nigeria,
 animashaun,woman with easy virtue,Nigeria,
 ankle,Sexual activity involved in by a male and a female. Its actually the latest pidgin word for FUCK(...,Nigeria,
 anoda,Another,Nigeria,
 ansa,Answer,Nigeria,
 anumanu,Animal,Nigeria,
 anuofia,Wild animal,Nigeria,
 anywhere belle face,This is used to describe someone who is playing football and kicks the ball in random directions ...,Nigeria,
 apkroko,Gossipsee: Amebo,Nigeria,
 apoda,a person who mix paint,Nigeria,
 aproko,someone who pokes his/her nose into other people\'s affairs. ,Nigeria,
 arangee,same as word arranged,Nigeria,
 area,1. neighborhood  2.familiar person or friend,Nigeria,
 area boy,Local tout. very rough and uncivilized person.,Nigeria,
 area boys,Hooligans touts that do nothing but loitering around the neighborhood and basically make a thei...,Nigeria,
 aristo,suga daddya man dating a girl who is young enough to be his daughter,Nigeria,
 aristos,sugar daddies or mummies - rich old men and women who date younger people,Nigeria,
 arrange yua sef,1. Make your own arrangements  2. Everyman to himself. ,Nigeria,
 arro,stupid person,Nigeria,
 arrow,a very daft and stupid person,Nigeria,
 as e dey hot,A trend or something trending.,Nigeria,
 as in,Expression used to ask for clarification literally\'Meaning what?\' Can also be used in a sarc...,Nigeria,
 as in eh,An exclamationused when frustated or surprised.,Nigeria,
 asala,Walnut (fruit),Nigeria,
 asap,As fast as prosible,Nigeria,
 ashana,A woman who engages in sexual intercourse for money,Nigeria,
 ashawo,1.prostitute 2.Loose girl,Nigeria,
 ashewo,"Prostitute,Slut,Whore..And sometimes the word is used if you flirt alot",Nigeria,
 ashy.,"Prostitute,wayward girl.",Nigeria,
 aso ebi,These are outfits made from matching/identical fabrics as a uniform in parties weddings and fune...,Nigeria,
 at all,see: for where. 1. this means no way OR not easily possible. 2. can be used as another way of say...,Nigeria,
 atiku,Atiku is a \'multipurpose\' word which can be used to mean two different but similar things e.g d...,Nigeria,
 atutupoyoyo,An ugly being,Nigeria,
 awara awara,"swiftly,smoothly,or successfully",Nigeria,
 awayu,"A condensed version of ""how are you""",Nigeria,
 awoko,Staying up late a night till day break.,Nigeria,
 awoof,Free stuffcharity ,Nigeria,
 awuuff,Free stuff or highly discounted stuff.,Nigeria,
 ayakata,A cry of astonishment. This is usually used when something has gone pear-shaped or haywire,Nigeria,
 ayama,1:Filthy!  2:Yuck! 3:Disgusting 4:Gross,Nigeria,
 ayangba,Prostitute,Nigeria,
 azama,Buttock,Nigeria,
 azonto,a style of dance,Nigeria,
 ba,isn\'t it,Nigeria,
 baba,This is another word for father,Nigeria,
 baba ijebu,A daily  lottery ,Nigeria,
 babe,1. A term of endearment between women.,Nigeria,
 baboon,1. derogatory termfoolish person 2. The animal baboon,Nigeria,
 back hand,To slap someone with the back of your hand,Nigeria,
 backyard,see ikebe,Nigeria,
 bacun,A delicious part of pig,Nigeria,
 bad belle,to hold a grudge/ to envy someone,Nigeria,
 bad gan,too bad in a good way,Nigeria,
 bad mouth,Speak maliciously about someone.,Nigeria,
 bad-belle,"MalicePlayer hater,",Nigeria,
 baddo,1. Someone who is highly respected or seen as very good at what they do.,Nigeria,
 bado,A bad person. Could also mean being good in what you do. depends on the context,Nigeria,
 badoo,Someone who is extremly bad esp. Socially,Nigeria,
 badoski,"Same as the word ""Baddo"". Check ""baddo"". Means to be a bad/tough guy",Nigeria,
 baff,BathThe process of cleaning ones self. Could be a shower or bath,Nigeria,
 baff up,Dress upespecially in flashy clothes.,Nigeria,
 baffs,clothes,Nigeria,
 baggish,rubbish,Nigeria,
 bah,Money,Nigeria,
 baka,Ass or buttock,Nigeria,
 bakasi,See ikebe,Nigeria,
 bakassi,Booty,Nigeria,
 bala,Have sexual intercourse,Nigeria,
 bam,Something that is good,Nigeria,
 bang,To have sex,Nigeria,
 banga,fireworks,Nigeria,
 banga soup,A kind of local stew made from boiled palm fruits.,Nigeria,
 banger,Popularly knows as knockouts. They are fire crackers blown up during christmas and new year period.,Nigeria,
 bangers world,bangers world is a music group or record label in nigeria,Nigeria,
 bani,A young Girl. #street slang for girlfriend#,Nigeria,
 banny,A girl. A person's gilfriend.,Nigeria,
 banta,Fierce fight between two people or groups.,Nigeria,
 banter,Na wen persin dey enter persin unto play play level.,Nigeria,
 baraje,This can be used to describe something that is spoiledwrong or bad. [Yoruba Origins],Nigeria,
 barawa,,Nigeria,
 barawo,A yoruba term meaning thief.,Nigeria,
 barb,cutting or shaving ones hair. usually refers specifically to cutting with clippersas opposed to...,Nigeria,
 barbing salon,barber\'s shop,Nigeria,
 barny,a girl,Nigeria,
 based on logistics,A phrase used to validate your conclusion.,Nigeria,
 bash,party or to hit something.,Nigeria,
 batcher,A wooden plank house.,Nigeria,
 bathroom slippers,rubber flip-flops. they are sometimes worn while bathing in general bathrooms (e.g. boarding scho...,Nigeria,
 baz,To smoke. Usually a cigarette or marijuana.,Nigeria,
 bazuka,This refer to penis,Nigeria,
 bebescout,too forward,Nigeria,
 bebeto,Referring to the famous Brazilian football player José Roberto Gama de Oliveira also known as Beb...,Nigeria,
 beer-beer,(also see bia bia),Nigeria,
 before nko,it was expected,Nigeria,
 beg beg, One who always begs,Nigeria,
 belle,This means stomach,Nigeria,
 belle full,Fullfrom eating to your heart\'s content. Not able to eat more.,Nigeria,
 bend down,A form of second hand attire,Nigeria,
 bend down boutique,fairly used clothes for sale. Its usually spread on mat for passers by to buy. see orkrika,Nigeria,
 bend down select,2nd hand clothing sold by the roadside,Nigeria,
 berekete,abundantplentifulin excess,Nigeria,
 berra,"an urban way of saying ""better"".",Nigeria,
 berry don black,a way to express that there\'s enough money...,Nigeria,
 berry never black,a way to express that you\'re not wealthy enough yet.,Nigeria,
 beta pikin,(adjective) used to describe a responsible or sensible person. ,Nigeria,
 betta,1. Good times  2. Improvement,Nigeria,
 bia bia.,Beards.,Nigeria,
 bicos,because,Nigeria,
 bicos why,The reason is?,Nigeria,
 bifor bifor,long time ago,Nigeria,
 bifor nko,What did you expect?,Nigeria,
 bifor-bifor,Long time ago. ,Nigeria,
 big eye,greedy,Nigeria,
 big man,A rich man,Nigeria,
 big woman,A woman of importance or reputation gained by ability or achievement,Nigeria,
 biko,An igbo word meaning please,Nigeria,
 bin,pidgin word which is used in different ways to indicate that a verb is in the past tense.,Nigeria,
 bingo,This is a generic name for a dog.,Nigeria,
 bisko,Biscuit,Nigeria,
 bizzy body,Someone DAT gossips a lot.  Someone that get into others business,Nigeria,
 blast scatter,Fireattack or shoot with full force and no hesitation,Nigeria,
 blaw,Cannabis,Nigeria,
 blocos,This word refers to the male genitaliaspecifically the scrotum balls.,Nigeria,
 blokkus,scrotum,Nigeria,
 blom blom,Blom Blom is a balloon,Nigeria,
 blom blow,Balloon ,Nigeria,
 bloodly,Bloodly is a word which means deadly the word is mostly used in fight.,Nigeria,
 blow,speaktalk,Nigeria,
 bluetooth,to send something invisibly.,Nigeria,
 bob,Up en down,Nigeria,
 bobbie,Breasts (particularly sexually arousing ones),Nigeria,
 bobby,breastboobs,Nigeria,
 bobie,big breast for a womanstriking breast,Nigeria,
 bobo,Trendy Guy,Nigeria,
 bobozee,Cassava chips,Nigeria,
 bodi dey inside clothe,I\'m surviving,Nigeria,
 boil beans,Not giving a damnnot showing care(used in southern nigeriaesp edo state and delta),Nigeria,
 boju boju,Hide and seek game,Nigeria,
 boku,plentysurplus,Nigeria,
 boli,roasted plantain. it\'s a popular snack eaten with groundnut or hot oil.,Nigeria,
 bolo,1.fool.2 silent person.,Nigeria,
 bololo.,"Hairless,Bald.",Nigeria,
 bom boi,A baby boi,Nigeria,
 bomboy,a male child. Also a male adult who behaves like a child or who is not man enough.,Nigeria,
 bon boy,This is the name give to a woman that gives birth to a male child,Nigeria,
 bone,to frown or to forget about something or someone,Nigeria,
 bones,Dark glasses or sunglasses.,Nigeria,
 bonga fish,1. A kind of blackened dried fish used to prepare local soups 2. Fool,Nigeria,
 bongo,It is a new word for Nigeria see naija. The word Bongo is derived from Bongo drums or bongos whic...,Nigeria,
 bonz,1.To be freshbeautiful 2. Very good,Nigeria,
 boo,"Boo means ""to express love for your spouse by taking up marital responsibilities before marriage.""",Nigeria,
 book haus,Library,Nigeria,
 booze man,drunkard,Nigeria,
 borku,plentylots,Nigeria,
 born boy,male infant,Nigeria,
 borrow leg,to flee from trouble.,Nigeria,
 borrow pose,Showing off with stuff that is not yours.,Nigeria,
 boss,AntagonistThe bad guy in a movie,Nigeria,
 bosun,an extreme suegbe,Nigeria,
 botty,trendy version of ajebutter. refers to someone who has been over-pampered. someone from a wealthy...,Nigeria,
 bow leg,Childhood disease caused by deficiency of vitamin D and sunlight associated with impaired metabol...,Nigeria,
 bow na u,means you amaze me,Nigeria,
 boy yoyo,A poser. Guy that is trendyhip and likes to show off,Nigeria,
 braga,someone who shows off or a booster...,Nigeria,
 bread,to lie,Nigeria,
 brekete,When there is an abundance of something.,Nigeria,
 brikito,British or english,Nigeria,
 broda,Brother,Nigeria,
 broda-broda,Nepotism,Nigeria,
 brokkus,part of the male private partScrotum,Nigeria,
 brokoto,1. Cooked cow's foot.,Nigeria,
 brokun,1. Broken englishpidgin english,Nigeria,
 bros,1. Brother 2. Someonoe that is trying to feel among but is excluded from a coversation or a circl...,Nigeria,
 bros fighting,When you get into/ join a fight and you dont even know what it is about.,Nigeria,
 bros laffing,When someone is laffing at something they dont understand in order to feel among.,Nigeria,
 bross,It can be said when talking to or talking about a person(male),Nigeria,
 brotherly,A term of endearment you say to someone who you consider a close friend.,Nigeria,
 buba,Traditional nigerian blouse ,Nigeria,
 buga,To bragto be excessively proud and boastful of one's achievements or possessions.,Nigeria,
 buhalectophobia,The fear of Buhari been elected in the future elections,Nigeria,
 buka,a small building alone the road side where people go to eat. canteen,Nigeria,
 bukateria,a cafeteriacanteenor simple eating-place.,Nigeria,
 bukka,1. roadside restaurant see: mamaput,Nigeria,
 bulala,1. Horse Whip see: koboko,Nigeria,
 bullet,See arrow (entry 2),Nigeria,
 buran tashi,Aphrodisiac,Nigeria,
 buredi,bread,Nigeria,
 burnt rep,short for \'burnt reputation\'. used to mean that one has been disgraced or ones reputation has ...,Nigeria,
 bush man,1. Unsophisticated man,Nigeria,
 bushmo,a very local girl,Nigeria,
 busybody,People who do not mind their business.,Nigeria,
 byah byah,1. Bushy beard,Nigeria,
 cabu-cabu,also spelled KABU KABU. This is an unregistered taxi cab operating illegally. Not painted in offi...,Nigeria,
 caff,short form for cafeteria. Usually the kind found on secondary school and university campuses,Nigeria,
 cak,to where clothes usually to dress up for an ocassion or function,Nigeria,
 cannur,not be able to exist,Nigeria,
 carbon copy,Look alike or replica ,Nigeria,
 carry,Word used to define how powerful a generator is in terms powering appliances.,Nigeria,
 carry and go,a chant sang to a person caught stealing,Nigeria,
 carry go,1.Go ahead. 2. Help your self.,Nigeria,
 carton,Cardboard box of any form,Nigeria,
 casala,1.Trouble. 2.Problem.,Nigeria,
 casanova,(1)A womaniser,Nigeria,
 catch trips,To entertain one\'s self usually at the expense of another.,Nigeria,
 cd plate,compact disc,Nigeria,
 cha cha,brand new,Nigeria,
 cha-cha,not at all. Used for emphasis of a negative statement. (Frequently used amongst Igbo speakers),Nigeria,
 chaf,Smoking,Nigeria,
 chai,What!,Nigeria,
 chai!,Usually exclamation used to express grief surprise disappointment and anger e.t.c see also choi,Nigeria,
 chaii,An exclamation,Nigeria,
 chairman,Term used to describe a guy.,Nigeria,
 chance,Cheating someone.,Nigeria,
 chandi,Another way for saying twenty Naira in Nigeria pidgin. ,Nigeria,
 change,This was a slang used by All Progressive Congress (APC) in 2015 campaign rallies before next leve...,Nigeria,
 change am,A. To change an article or something  B. To change someones fate without his or her intention.  ,Nigeria,
 chappy,a beautiful girl,Nigeria,
 char,Something u tell someone when he say something stupid or incorrect word or strange wordits just...,Nigeria,
 chark,to drink alcoholget drunk,Nigeria,
 charlie,Originates from Ghanait mean Friend.,Nigeria,
 chasis,Awesomevery nice,Nigeria,
 chei,Wow!,Nigeria,
 chey,exclamation or sign of sympathy. Usually for something bad.,Nigeria,
 chi chon chi,"It means experienceor having witnessed something or be a victim of a circumstance. ""Chi chon ch...",Nigeria,
 chice,Easy,Nigeria,
 chickala," A beautiful,sexy girl",Nigeria,
 chickito,young pretty looking lady,Nigeria,
 chika,a girl or babe,Nigeria,
 chikala,A girl. see chickito,Nigeria,
 chilax,"chillin or relaxing somewhere outside ur area or to calm someone\'s anxiety,fear or eagerness.",Nigeria,
 chillax,1.chill out 2.relax,Nigeria,
 chim chim,A state of good health like a frisky young lamb.,Nigeria,
 chin,to chin (verb) To ignore another personespecially on purpose.,Nigeria,
 chinco,Chinese or a chinese individual,Nigeria,
 chinco land,China,Nigeria,
 chineke,Jesus,Nigeria,
 chingum,chewing gum.,Nigeria,
 chinko,This word is used to describe chineese people or people of the asian race,Nigeria,
 chiz,A word that represent money,Nigeria,
 choco,weedmarijuana,Nigeria,
 chook,stab,Nigeria,
 chop,to eat,Nigeria,
 chop beans,to fail at something,Nigeria,
 chop belle full,"To be satisfied. This literally translates to ""eat till stomach is full""",Nigeria,
 chop burger,To put on weight,Nigeria,
 chop cockroach,to get pregnant,Nigeria,
 chop i chop,mutual corruption,Nigeria,
 chop knuckle,fist bumpa kind of greeting similar to high five.,Nigeria,
 chop up,to increase in wealthstatus or body size. move up,Nigeria,
 chop wowo lick plate,"used to describe someone who is very ugly. it\'s a pidgin equivalent of \""hit by the ugly stick\""",Nigeria,
 chow,to eatfeed ,Nigeria,
 chuk,to have sex. to stab someone,Nigeria,
 chuku-chuku,Spikes or sharp object,Nigeria,
 chukuli,TO cheat  Carrying exam answers into the exam,Nigeria,
 chukuli.,Pieces of paper containing answers smuggled into an exam venue to aid in cheating.,Nigeria,
 church,Any building of worship.,Nigeria,
 church bwoiz nation,"Church Bwoiz Nation is a Nigerian record label founded in 2021 by Agidi catholic church boys,
th...",Nigeria,
 chyke,To woo someone of the opposite sex ,Nigeria,
 clap for yourself,1.BE PROUD OF YOURSELF 2.WELL DONE,Nigeria,
 clear road,"to create a space for someoneon the other hand it can also mean ""to hail someone""",Nigeria,
 coatie,An officer of the lawyer. Usually refers to a policeman.,Nigeria,
 coconut head,empty headof low intelligencea foolan academic failure,Nigeria,
 code,To lie (lying),Nigeria,
 coded,1.a person who did something which no one around him or her notice.2.silently.3.gently,Nigeria,
 codedly,discretely,Nigeria,
 coke,this is the short form for Coca-colathe popular brownish-black drink.,Nigeria,
 colabo,act of working jointly,Nigeria,
 collabo,Pigin for Collaborate,Nigeria,
 colo,to loose ones mindbecome crazy,Nigeria,
 colobi,"See ""Kolobi"".",Nigeria,
 color b,to confuse someone or distract someone,Nigeria,
 combing ,To have have sex with a lady,Nigeria,
 come chop,Come dine or eat,Nigeria,
 come make i flex you tight,,Nigeria,
 commot,Go away or get out,Nigeria,
 comot,to leave a place,Nigeria,
 comot for road,1. Make way 2. Get away!,Nigeria,
 compassion,to get soft mind,Nigeria,
 compound,Land surrounding a fenced house/houses,Nigeria,
 confam,Means Confirm or a way of showing integrity and assuarance,Nigeria,
 confirmed,see correct 1. something or someone with a good reputation,Nigeria,
 confra,campus fraternity ,Nigeria,
 coni,To dupecommit fraud or decieve,Nigeria,
 conji,Horny.,Nigeria,
 conk,To hit a persons head with clenched fingers.,Nigeria,
 conscience,GIRLFRIEND,Nigeria,
 control,to speak to someone,Nigeria,
 control p,A term used when someone is taking a situation too personally.,Nigeria,
 cool,,Nigeria,
 cool down ,Calm down ,Nigeria,
 coolu temper,1. Control your temper! 2. Title of song by Nigerian saxophonist Lagbaja. ,Nigeria,
 copper,Graduate fresh out of the university and serving in a cooperation temporary. ,Nigeria,
 copy copy,1. unoriginal person 2. see follow follow,Nigeria,
 corner-corner,to do something sly,Nigeria,
 correct,A way of expressing something is good,Nigeria,
 cortex,Nail polish,Nigeria,
 counta,bottle cap,Nigeria,
 counter blast,To respond or to counter attack,Nigeria,
 couple,to discipline or punish someone to remind them to behave well,Nigeria,
 cover slap,hard slap using the whole of your palm and fingers,Nigeria,
 cowbell,Refers to the bust of women especially those with large bust,Nigeria,
 cra-fish,local way of pronouncing crayfish.,Nigeria,
 craise,Telling someone craise or craize in pidgin is also telling someone that he/she is mad/crazy.,Nigeria,
 cram,To memorise or read,Nigeria,
 crase,1. mentally unbalanced2. acting out of the norm,Nigeria,
 crash,to sleep,Nigeria,
 craw-craw,Skin disorder that causes itchy rashes ,Nigeria,
 craz,insane or stupid. ,Nigeria,
 craze,having or showing a very abnormal or sick state of mind,Nigeria,
 cream boy,A guy who is a show-off. Somebody who likes to show off clothesmoneyetc.,Nigeria,
 creaminal,Being the best “creme de la creme“ in whatever you do,Nigeria,
 crench,A prison or jail house.,Nigeria,
 cruise,We are having so much fun!,Nigeria,
 cruz,Use excessively,Nigeria,
 cry-cry,somebody who cries too muchor easily. Usually a baby. This is used sometimes to tease babies in...,Nigeria,
 cunnyman,(Specifically:) A con man. ,Nigeria,
 cut,A football term in which a player dribbles by performing a fake shot (box and x) and manages to e...,Nigeria,
 cut cap,a term that signfies ones respect for someone or something,Nigeria,
 cut neck,When u like something so much,Nigeria,
 cut out,Pidgin English phrase often used to refer to a hurried escape.,Nigeria,
 dabaru,Spoil,Nigeria,
 dada,Dreadlocks ,Nigeria,
 dagbaru,To scatter somewhere or something ,Nigeria,
 dagbo,Fake. Something that has been forgedfalsified or done in an inappropriate way and manners.,Nigeria,
 danfo,used to describe an ugly busmost of which are VW Combi buses or really old school buses that ha...,Nigeria,
 danfo driver,Bus driver,Nigeria,
 danga,fight,Nigeria,
 dash,To give a gift or bride,Nigeria,
 dat,That,Nigeria,
 dat one na grammar,phrase of dismissal to show that something is not practical or too complexor maybe just impossi...,Nigeria,
 de,am,Nigeria,
 de go,continue going,Nigeria,
 deez nuts,Testicles.,Nigeria,
 delete,to die or get killed,Nigeria,
 dem,Them,Nigeria,
 dem say dem say,hearsay gossipers or rumor mongers,Nigeria,
 demain,Je viendrai demain pour apporter les meubles ,Nigeria,
 dembele,A big fool,Nigeria,
 denge,This word means to show off,Nigeria,
 denge pose,Posing or showing off,Nigeria,
 depe,total stupid person,Nigeria,
 dey,1. to beor to be alive 2. in the process of doing something,Nigeria,
 dey don talk am,they have said it,Nigeria,
 dey go,keep going or leave,Nigeria,
 dezgi,show offbehaving as if not concerned or interested,Nigeria,
 dia,Their,Nigeria,
 dick,This refer to Penis,Nigeria,
 die,so muchtoo much,Nigeria,
 die am,to end a situation or a discussion ,Nigeria,
 die it,forget the matter or bone the talk,Nigeria,
 die-it,"Street slang meaning \""Shut up\"".",Nigeria,
 dis,This,Nigeria,
 disarm,to steal,Nigeria,
 dive,to overreact ,Nigeria,
 do quick,hurry up,Nigeria,
 dodo,fried plantain (ripe plantain only),Nigeria,
 doke.,To have sex with.,Nigeria,
 doll baby,a dumb person,Nigeria,
 dommot,houseabode,Nigeria,
 domot,Your areayour main living quarters. It's never a house sha. Usually lived in by university stud...,Nigeria,
 don,past tense. to have completed something,Nigeria,
 doro,The correct thingthe truth or the way forward.,Nigeria,
 dorti,1.to get drunk 2. dirty,Nigeria,
 doti-doti ,means: Dirtinessor when something is always dirty,Nigeria,
 dox,to have sexual intercourse. Usually of the mind blowing way or to someone surprise,Nigeria,
 dress,to move asidemake room,Nigeria,
 drive,To instigate or be the cause of someone or something going away,Nigeria,
 driver,some who is hired to drive a person/family aroundchauffeur,Nigeria,
 drude,Arogant,Nigeria,
 dry,Means not funny or not inseresting,Nigeria,
 dub,To copy,Nigeria,
 dudu,black,Nigeria,
 duduke,"The sound of a heart beat
""it's the beat of your heart or the beat of the drums you move your bo...",Nigeria,
 dulling,Your bored or something is boring,Nigeria,
 dumadu,Local ice cream Substandard ice cream,Nigeria,
 dundee united,Stupid or idiot,Nigeria,
 dust,To blow something or someone out of the water. Usually used to express the incomparable gap betwe...,Nigeria,
 e be as e get,"Pidgin English term often interchangeable with \""e get as e be\"". Term used to describe special o...",Nigeria,
 e be like say,It seems that,Nigeria,
 e choke ,U say this when something shocks someone.,Nigeria,
 e dey hard,It is rare/difficult,Nigeria,
 e don be,the worst has happened or a situation in which you are in the worst case scenaio,Nigeria,
 e don do,It is enough,Nigeria,
 e don red,means its getting serious or real.. used mostly when in reference to a fight...,Nigeria,
 e don tey,long timeit\'s been a while,Nigeria,
 e get as e be,suspicious or hard to believe,Nigeria,
 e get as e bi,1:strange 2:There\'s something odd about it.,Nigeria,
 e go be,good bye,Nigeria,
 e go tay,synonymous to \'challenging or difficult situation\',Nigeria,
 e neva tey,It has not been long,Nigeria,
 e no dey,it is not,Nigeria,
 e no easy,It is not easy,Nigeria,
 e no go beta for you,it shall not be well with you,Nigeria,
 e remain small,1. Nearly  2. Almost. ,Nigeria,
 e.,1. He 2. She,Nigeria,
 early momo,Very early in the morning,Nigeria,
 eba,"A solid Nigerian meal made from Garri and hot water,consumed along with a soup",Nigeria,
 effizzie,Effizzie simply means style,Nigeria,
 efiko,"A genius,a Brilliant person,Someone who studies a lot. ",Nigeria,
 efizy,Showing offhaving a lot of style,Nigeria,
 efrebo,A guy who engages in dangerous play or assignment who is at risk getting wounded,Nigeria,
 egboro,Streets or Main town,Nigeria,
 egungun be careful na express you dey go,Be carefulyou are about to enter into trouble,Nigeria,
 egunje,Bribe,Nigeria,
 egusi,1. Melon seed,Nigeria,
 eh eh,NoNot at all,Nigeria,
 eh yah,1.Sorry 2. What a pityhow touching,Nigeria,
 eheh,1.is that so / is that it,Nigeria,
 ehmycool,"Ehmycool is a talented Afropop singer from Church Bwoiz Nation,
He is an Idoma boy from Benue st...",Nigeria,
 ehn,What? sometimes used as an exclamation,Nigeria,
 eke,Police,Nigeria,
 ekelebe,The police.  A police man.,Nigeria,
 ekey,see busybody,Nigeria,
 eko,Lagos,Nigeria,
 ekonomik,to minimize or to use wisely,Nigeria,
 ekuleku,Big bossom,Nigeria,
 eleniyan,Boss of all Bosses. ,Nigeria,
 emana,pussy,Nigeria,
 enamel,a bucketmade from enamels.,Nigeria,
 ends,house,Nigeria,
 enta,Enter,Nigeria,
 enta voicemail,stolencant be found,Nigeria,
 enter,(1) To have sex with a female (2) To beat the hell out of a person  ,Nigeria,
 enugbe,Means broken,Nigeria,
 EP,Enemy of progress,Nigeria,
 epp,help,Nigeria,
 erema,a very pretty lady.,Nigeria,
 erica,A type of friend-zone where someone is mentally attracted to another person but physically not.,Nigeria,
 ewey!,A exclamation of excitementespecially after doing something well.,Nigeria,
 ewu,Goat,Nigeria,
 ex,the person u brockup with,Nigeria,
 excess,enough,Nigeria,
 excesses,"stupidity,wrongs",Nigeria,
 expo,Illegal access to a test or exam,Nigeria,
 eyahhh,Used as pitysometimes it's sarcastic sometimes it's not,Nigeria,
 eye glass,spectacles,Nigeria,
 eye go come down,will come back to reality,Nigeria,
 eye red,it means to be serious and desperate over a thing or a situation,Nigeria,
 f.o.c,meaning -free of charge,Nigeria,
 fa,It is a form of exclamation,Nigeria,
 faaji,The pleasure felt when having a good time,Nigeria,
 faboo,Lie,Nigeria,
 fabu,An unimaginable/unbelievable lie ,Nigeria,
 face,to leave or ignore,Nigeria,
 face me i face you,1. Old Little houses usually built facing each other mostly occupied by students and low class ci...,Nigeria,
 fada,father,Nigeria,
 faf,To Laze about,Nigeria,
