Words,Definition,,Country
Age paper,Birth Certificate  ,,Jamaican Creole
Aguh,Ago  ,,Jamaican Creole
Ah,"Of, A  ",,Jamaican Creole
Ah fi mi,It's for me  ,,Jamaican Creole
Ah gud,Serves you right  ,,Jamaican Creole
Ah suh di ting tan,That's the way it is.  ,,Jamaican Creole
Baan,born  ,,Jamaican Creole
baas,boss  ,,Jamaican Creole
Baba,barber  ,,Jamaican Creole
Baby love,Darling  ,,Jamaican Creole
Baby madda,Baby Mother  ,,Jamaican Creole
Babylon,Police man  ,,Jamaican Creole
Babylon system,Slang expression used to refer a corrupt government or organization that facilitates the rich  and exploits the poor  ,,Jamaican Creole
babylon water,spirit cane / liqour  ,,Jamaican Creole
bac,back  ,,Jamaican Creole
back a bush,Deep rural or country area  ,,Jamaican Creole
Back a Yard,Expression used to refer to one’s home town or country… particularly in Jamaica. The literal translation is “Back at home”.,,Jamaican Creole
back answer,talk back  ,,Jamaican Creole
back chat,talk back  ,,Jamaican Creole
back talk,talk back  ,,Jamaican Creole
Back yuh fist,Masturbate  ,,Jamaican Creole
backa,behind  ,,Jamaican Creole
backazz,back way  ,,Jamaican Creole
Backfist,masturbate  ,,Jamaican Creole
Backfoot,Slang term used as an expression of surprise,,Jamaican Creole
Backra,Slave Master  ,,Jamaican Creole
Backside,A Jamaican slang word which is used mostly when you are surprise.,,Jamaican Creole
backway,backwards  ,,Jamaican Creole
bad bad bad,very bad/ badly  ,,Jamaican Creole
Bad Gyal,bad girl  ,,Jamaican Creole
Bad like yaz,Awesome  ,,Jamaican Creole
Bad luck wus dan obeah,Bad luck is worse than witchcraft  ,,Jamaican Creole
bad lucky,Unlucky or in an unfortunate situation,,Jamaican Creole
Bad man,Gangster  ,,Jamaican Creole
bad man wagon,BMW  ,,Jamaican Creole
Bad mind a kill them,They’re dying of envy  ,,Jamaican Creole
Bad up,rough up  ,,Jamaican Creole
Bad wud,Curse Word  ,,Jamaican Creole
Badda,"bother, bother, Bother  ",,Jamaican Creole
Badda Badda,constantly bother  ,,Jamaican Creole
Badman ting,Criminal activity  ,,Jamaican Creole
Badmind,"jealous / envious, envious person, Envious  ",,Jamaican Creole
Badness,violent behavior  ,,Jamaican Creole
badwud,"badword,  profanity,  an expletive   ",,Jamaican Creole
Bafan,"clumsy, Clumsy  ",,Jamaican Creole
Bag juice,A cheap beverage made of water and syrup that is sold in a small plastic bag.,,Jamaican Creole
Bag O Wire,Betrayer  ,,Jamaican Creole
Bagga,a lot of  ,,Jamaican Creole
Bagga mouth,all talk but no action  ,,Jamaican Creole
bagga tings,A lot of things  ,,Jamaican Creole
Baggy,underpants  ,,Jamaican Creole
baide,"Bathe, bathe  ",,Jamaican Creole
Bait,Punk  ,,Jamaican Creole
bait up di thing,to set someone up for a downfall or cause disappointment or embarrassment,,Jamaican Creole
Bak A Waal,Slum  ,,Jamaican Creole
Bakka,back of/behind  ,,Jamaican Creole
bakkle,"Battle, Bottle  ",,Jamaican Creole
Bakklefield,Battlefield  ,,Jamaican Creole
balance,behave well  ,,Jamaican Creole
Ball an chain,Strict control  ,,Jamaican Creole
Ball head,Bald Head  ,,Jamaican Creole
balm oil,A special oil used when conducting spiritual healings or other obeah rituals,,Jamaican Creole
Balm yard,A location where healing rituals are practice using obeah or other forms of dark magic,,Jamaican Creole
Bammy,A traditional Jamaican Flat round pancake-looking bread made from grated cassava from which the bitter juice has been extracted. The cassava is pressed downed to decrease thickness and then baked on both sides. It is normally served with fried fish or any other fried food.,,Jamaican Creole
Banana boat,"Slang term for a boat or ship that is used to transport immigrants from the Caribbean to first world countries such as the England, United States or Canada. The ships were primarily used to transport bananas from the Caribbean but would also offer passage for anyone from Caribbean going to the returning country (America, England etc…) at a cheaper cost than normal passenger ships.",,Jamaican Creole
Bandu,Hair band  ,,Jamaican Creole
Bang belly,Big bellied  ,,Jamaican Creole
Banga,Burner Phone  ,,Jamaican Creole
Bangarang,"trouble or disturbance, Old  items, Commotion  ",,Jamaican Creole
Bangle,bracelet  ,,Jamaican Creole
bank robbas,Slang for Desert Trek Clarks,,Jamaican Creole
bankra,basket ,,Jamaican Creole
Banton,"a storyteller,Story teller ",,Jamaican Creole
Bapps,A mistress ,,Jamaican Creole
Baps,suddenly ,,Jamaican Creole
Bashment,"Party,Party ",,Jamaican Creole
Bashy,"Hot,Hot,Hot ",,Jamaican Creole
batimamselle,Dragonfly ,,Jamaican Creole
batta bruise,abuse ,,Jamaican Creole
Batta Ears Gyal,Skank ,,Jamaican Creole
Battam,bottom ,,Jamaican Creole
Battery,gang bang /gang rape ,,Jamaican Creole
Batty,"ass,Bum,Buttocks ",,Jamaican Creole
batty bwoy,F**got ,,Jamaican Creole
Batty Crease,Ass crack ,,Jamaican Creole
Batty Gyal,Dyke ,,Jamaican Creole
Batty hole,"asshole,Ass hole ",,Jamaican Creole
Batty Man,"Gay,F**got ",,Jamaican Creole
Batty peg,Ass cheek ,,Jamaican Creole
Batty Rider,Booty shorts ,,Jamaican Creole
Batty wash,"Stimulation of the anus with the tongue,Rim job ",,Jamaican Creole
bawl,Cry ,,Jamaican Creole
Bawl out,Cry out ,,Jamaican Creole
Bawn,Born ,,Jamaican Creole
Bax,Slap ,,Jamaican Creole
Bax Cova,Oh my God ,,Jamaican Creole
Bax Dung,Slap you down ,,Jamaican Creole
Bay rum,Aromatic alcohol rub used for medicinal purposes.,,Jamaican Creole
bayfoot,barefoot ,,Jamaican Creole
Bbc,f*cking ,,Jamaican Creole
Bbrcl,F*cking hell ,,Jamaican Creole
Beat dem bad,Surpass ,,Jamaican Creole
becum,become ,,Jamaican Creole
Bedroom Bully,A man or woman that is the primary initiator of sex in the bedroom. He/she controls sex and therefore controls the bedroom,,Jamaican Creole
Beenie,"Little,small/tiny ",,Jamaican Creole
Begga,Beggar ,,Jamaican Creole
Beggy beggy,Begs too much ,,Jamaican Creole
Belly,Pregnant ,,Jamaican Creole
Belly bottom,Abdomen ,,Jamaican Creole
Belly cork,Belly button ,,Jamaican Creole
ben,"Upset /angry,vexed / angry ",,Jamaican Creole
Ben Johnson day,Thursday ,,Jamaican Creole
Bench an batty,Very close friends ,,Jamaican Creole
Bendun maaket,a roadside market ,,Jamaican Creole
Benup,bent ,,Jamaican Creole
Bere,A lot ,,Jamaican Creole
Betta,Better ,,Jamaican Creole
Bex,Vex ,,Jamaican Creole
Bi,Be ,,Jamaican Creole
Bicaa,Because ,,Jamaican Creole
big an suo suh,big and useless ,,Jamaican Creole
Big Batty Gyal,big booty girl ,,Jamaican Creole
Big bout yah,Large and in charge ,,Jamaican Creole
Big chune,Great Song / Hit Song ,,Jamaican Creole
Big heads dem,The higher ups ,,Jamaican Creole
Big hole gyal,Term used to refer to a female with a big/loose vagina,,Jamaican Creole
Big man ting,Slang term used to refer to a situation that is adult business, childish behavior is not acceptable,Jamaican Creole
Big Massa,God ,,Jamaican Creole
Big Ooman,Big woman / lady ,,Jamaican Creole
Big people ting,Adult business ,,Jamaican Creole
Big tings a gwaan,Big things are happening ,,Jamaican Creole
Big Up Your Chest,be proud of yourself ,,Jamaican Creole
Big up yourself,give yourself a pat on the back ,,Jamaican Creole
Big yard,A large tenement ,,Jamaican Creole
Bigga,bigger ,,Jamaican Creole
Bigga Heads,Higher ups ,,Jamaican Creole
biggis,biggest ,,Jamaican Creole
Biggs,Fatso ,,Jamaican Creole
Bikaaz,because ,,Jamaican Creole
Bike back,The passenger seat of a motorcycle,,Jamaican Creole
Bikkle,Food ,,Jamaican Creole
Bill,Chill ,,Jamaican Creole
Bill bak,Relax / chill ,,Jamaican Creole
Bills,One hundred dollars ($100.00) ,,Jamaican Creole
Bimma,BMW ,,Jamaican Creole
Bin,been ,,Jamaican Creole
binggy,A catapult. ,,Jamaican Creole
bird bush,A place where lots of birds inhabit and is primarily used for bird hunting,,Jamaican Creole
bisi,"Cola, A reddish-brown fruit usually chewed by the elderly.",,Jamaican Creole
bissy,A cola nut that it is used as a poison antidote or as medicine.,,Jamaican Creole
bitch lick,"A violent, savage blow.",,Jamaican Creole
bitch up,To perform a task inadequately or crudely without attention to quality or detail,,Jamaican Creole
Biznizz,Business ,,Jamaican Creole
Blabba mout,"Chatterbox,Blabbermouth ",,Jamaican Creole
black heart,Coldly cruel, cold hearted,Jamaican Creole
Black Up,Smoke Weed ,,Jamaican Creole
Blacka,Dark skin black man ,,Jamaican Creole
Blackbud seh fi im pikni fus,Blackbird says her child comes first. ,,Jamaican Creole
blackcat,coochie ,,Jamaican Creole
Blaze,smoke weed ,,Jamaican Creole
Bleach,to go without sleep usually because of excessive partying or any other fun activity,,Jamaican Creole
Bleachaz,Slang expression used to refer to a black person who bleaches/lightens their skin. The literal translation for “bleachaz” is “bleacher”,,Jamaican Creole
Bless,"Whether it be 'bless', or a variation such as 'bless up' or 'blessings', or ‘highly blessed', some Jamaicans generally greet each other in a way that says that they wish the other person peace, abundance and rest in all they do.

",,Jamaican Creole
bless up,"Bless up is used in Jamaica to mean, have a nice day, have a good day or have a blessed day.",,Jamaican Creole
Blessed,Everything is cool ,,Jamaican Creole
blinky blinky,firefly ,,Jamaican Creole
Blood Fiah,Blood Fire ,,Jamaican Creole
Bloodclaat,Blood Cloth ,,Jamaican Creole
Bloodcleet,F**k ,,Jamaican Creole
Bloodseed,Mild curse word used when one is frighten,,Jamaican Creole
Blouse an skirts,Blouse and skirts ,,Jamaican Creole
Blousenawt,Darn ,,Jamaican Creole
Blow wow,Holy crap ,,Jamaican Creole
Blue Draws,A boiled pudding made from green bananas,,Jamaican Creole
Blue movie,Porn ,,Jamaican Creole
Blues,Pornography ,,Jamaican Creole
Blurtnawt,What the hell ,,Jamaican Creole
Blurtneet,Oh my god ,,Jamaican Creole
Bly,"Chance,Chance ",,Jamaican Creole
Board man,Slang expression for a man that cannot get or satisfy a woman,,Jamaican Creole
Boasie,boastful / ostentatious ,,Jamaican Creole
Bobo dread,Dreadlocks Man ,,Jamaican Creole
Bodderation,Botheration,,Jamaican Creole
Bogle,Popular dance by the dancehall icon of the same name Gerald Levy aka “bogle”.,,Jamaican Creole
Bolo Slush,"A brown-looking stew with red peas,It is usually served with white rice or some large dumplings made of some kind of wheat flour.",,Jamaican Creole
Bong belly pickney,Greedy Person ,,Jamaican Creole
Bongo,Black ,,Jamaican Creole
Boogooyaga,Degenerate ,,Jamaican Creole
booguyaga,low class / worthless ,,Jamaican Creole
Boom flick,Somersault ,,Jamaican Creole
boonoonoonoos,"sweetheart,sweetheart,special person ",,Jamaican Creole
Boops,Sugar Daddy ,,Jamaican Creole
Boots,"Condom/Shoes,Condoms ",,Jamaican Creole
Booyaka,Bang! ,,Jamaican Creole
Borosie,Rude person / jerk ,,Jamaican Creole
Bou yah,Around here ,,Jamaican Creole
boun fi,sure to ,,Jamaican Creole
bounce off,to share with someone for the purpose of getting feedback,,Jamaican Creole
Bounty Killer,Holy crap ,,Jamaican Creole
Bout,About ,,Jamaican Creole
Bow,Slang use to describe when someone performs oral sex, mostly on a woman.,Jamaican Creole
Bowcat,Slang expression use to refer to someone who gives oral sex to a woman,,Jamaican Creole
BOX,"A speaker box used for the amplification of reggae music. Boxes may be up to five feet tall, and are used both at parties and by record vendors to amplify music on the streets.",,Jamaican Creole
Box Food,Food sold in foamed clamshell take-out containers,,Jamaican Creole
Box Juice,Sweet Beverage sold in box containers,,Jamaican Creole
Boy Affi,Boy have to ,,Jamaican Creole
Braff,Showing off ,,Jamaican Creole
Bragadaps,Suddenly ,,Jamaican Creole
brap,gunshot sound effect ,,Jamaican Creole
Brawla,Brawler ,,Jamaican Creole
Brawta,Bonus/Extra ,,Jamaican Creole
Breath easy,Relax/calm down ,,Jamaican Creole
Bredda,"Brother,Brother ",,Jamaican Creole
Breddah,"brother,Brother ",,Jamaican Creole
Bredren,"Brethren,Brethren ",,Jamaican Creole
breed,pregnant,,Jamaican Creole
Brejin,Brethren ,,Jamaican Creole
Brethren,Brother ,,Jamaican Creole
Bright,Rude ,,Jamaican Creole
Bringle,"Angry,Agitated ",,Jamaican Creole
Brinks,Rich/wealthy Person ,,Jamaican Creole
Bro Gad,Bro God ,,Jamaican Creole
Broughtupsy,"Good Manners,Good manners ",,Jamaican Creole
Brown man,Light skinned black male ,,Jamaican Creole
bruck out,misbehave ,,Jamaican Creole
Bruk,"broke,Semen,break ",,Jamaican Creole
Bruk calabash bring new one,"Broke the calabash, bring a new one ",,Jamaican Creole
Bruk It Dung,Break It Down ,,Jamaican Creole
bruk off,break off ,,Jamaican Creole
Bruk out,misbehave ,,Jamaican Creole
Bruk pocket,Broke pocket ,,Jamaican Creole
Bruk up,Break ,,Jamaican Creole
bruk weh,"to break away,  to break loose ",,Jamaican Creole
Bubble,A popular dance move done by women. This dance has strong sexual undertones and consist of a variety of hip and belly actions a woman does when she is dancing.,,Jamaican Creole
Bubu,"Fool,Fool ",,Jamaican Creole
Buck,Run into ,,Jamaican Creole
Buck up,"bump into, Meet, stumble into ",,Jamaican Creole
Bud,"bird,Bird ",,Jamaican Creole
Buddy,Penis ,,Jamaican Creole
bull bakka,bully ,,Jamaican Creole
Bulla,"A small round cake made with molasses and flavored with banana or ginger. They are inexpensive and easy to make using molasses, flour and baking soda. They are typically eaten as a snack with cheese or avocado.",,Jamaican Creole
Bully beef,Canned corned beef ,,Jamaican Creole
bumaye bumaya,An expression of greeting. Could also used in the context of telling someone you agree with them and others as well.,,Jamaican Creole
Bumba,Holy Crap ,,Jamaican Creole
Bumbo,F**k ,,Jamaican Creole
Bumbo pussy raasclaat,During an argument it is used to express feelings of anger or used when excited or within a conversation with friends.,,Jamaican Creole
Bumborass,F**k ,,Jamaican Creole
Bumbowhole,Motherf**ker ,,Jamaican Creole
Bumpa,Buttocks ,,Jamaican Creole
bumper,butts ,,Jamaican Creole
Bun,"burn, annoy, Spiced Bun, Cheat ",,Jamaican Creole
Bun a fyah,Denounce ,,Jamaican Creole
Bun dem,Bothers them ,,Jamaican Creole
bun out,To rebuke or lambaste ,,Jamaican Creole
bun up,burn up / burnt up ,,Jamaican Creole
Bun weed,"smoke weed,smoke weed ",,Jamaican Creole
bunk ah rest,relax or take a nap. ,,Jamaican Creole
Bunks,bump ,,Jamaican Creole
Burga,Burger ,,Jamaican Creole
Bush Tea,"A bunch of leaves, natural herbs, or grasses used for making tea, especially in the morning. The leaves are thrown into a boiling pot and steeped. The tea is strained off.",,Jamaican Creole
buss,burst,,Jamaican Creole
Busta,A popular soft drink in Jamaica,,Jamaican Creole
Butta,Butter ,,Jamaican Creole
Butu,Hick,,Jamaican Creole
Buv,Above ,,Jamaican Creole
bwile,boil ,,Jamaican Creole
Caa,Can't  ,,Jamaican Creole
Caca faat,Slang term used as an expression of extreme surprise (incredulous),,Jamaican Creole
cah,cause  ,,Jamaican Creole
Cap a shot,Bust a cap  ,,Jamaican Creole
Carry Belly,Harbouring negative feelings for someone  ,,Jamaican Creole
Casco,Fake  ,,Jamaican Creole
Catapul,Slingshot  ,,Jamaican Creole
Catty,Broad  ,,Jamaican Creole
caw,because  ,,Jamaican Creole
Cease and Sekkle,stop everything and relax  ,,Jamaican Creole
Cemetery,"A girl whose had many abortion, Cemetery",,Jamaican Creole
Cerfiticket,Certificate  ,,Jamaican Creole
Cha Cha Bwoy,Ladies man  ,,Jamaican Creole
Chakka chakka,"untidy, Untidy  ",,Jamaican Creole
Chaliss,Bong  ,,Jamaican Creole
Chalwa,Chalice  ,,Jamaican Creole
Chap eh line,Scam  ,,Jamaican Creole
Chapareeta,Bracelet  ,,Jamaican Creole
Chappa,Scammer  ,,Jamaican Creole
Chargie,"Homie, Bro  ",,Jamaican Creole
Charlie,Penis  ,,Jamaican Creole
chat,talked  ,,Jamaican Creole
Chat mi,"To be talked badly about, or to be talked downly upon",,Jamaican Creole
Chaw,Chew  ,,Jamaican Creole
Chawklit,Chocolate  ,,Jamaican Creole
Cheddar,Money  ,,Jamaican Creole
Chewsday,Tuesday  ,,Jamaican Creole
Chi chi,Homosexual  ,,Jamaican Creole
Chi chi man,Homosexual Male  ,,Jamaican Creole
chichi man,gay  ,,Jamaican Creole
Chicken merry hawk deh near,"Chicken is merry, a hawk is nearby  ",,Jamaican Creole
Chief inna town ginnal mus li,"Chief's in the town, the con artist will prosper  ",,Jamaican Creole
Chigger,Trigger  ,,Jamaican Creole
Chile,Child  ,,Jamaican Creole
Chimmy,Chamber pot  ,,Jamaican Creole
Chiney,Asian Person  ,,Jamaican Creole
Chiney Brush,Liquid which is brushed onto the penis to increase staying power. For those with erectile dysfunction,,Jamaican Creole
Chiney Guinep,Lychee  ,,Jamaican Creole
Chink,Bed bug  ,,Jamaican Creole
Cho,"Darn, Dammit  ",,Jamaican Creole
Choat,Throat  ,,Jamaican Creole
chobble,Trouble  ,,Jamaican Creole
Choch,Church  ,,Jamaican Creole
choops,Kiss on the cheek  ,,Jamaican Creole
Chowziz,Trousers  ,,Jamaican Creole
Chrent,strength  ,,Jamaican Creole
Chriet,straight  ,,Jamaican Creole
Chrow,Throw  ,,Jamaican Creole
Chubble,trouble  ,,Jamaican Creole
Chuck,"Shove, Truck  ",,Jamaican Creole
Chue,TRUE,,Jamaican Creole
Chune,Tune  ,,Jamaican Creole
Chuo cho,Chayote  ,,Jamaican Creole
Chupid,Stupid  ,,Jamaican Creole
Chups,Kiss on the cheek,,Jamaican Creole
Chuu,TRUE,,Jamaican Creole
Chuut,Truth  ,,Jamaican Creole
Claat,"cloth, Cloth  ",,Jamaican Creole
Claffy,Idiot  ,,Jamaican Creole
Clappas,Firecrackers  ,,Jamaican Creole
Cock it up,To have aggressive sex in a doggy-style position.,,Jamaican Creole
Cock mouth kill cock,A c**k’s mouth causes its death  ,,Jamaican Creole
Cocky,C**k  ,,Jamaican Creole
Coco,"Jamaican name for tannia and yautia. A staple food in the Caribbean, this tuber was originally imported from Polynesia (where it is known as taro) by the Portuguese. Cocos have a white chalky flesh. They may be left in the ground for considerable periods of time.",,Jamaican Creole
Coco bread,Coochie  ,,Jamaican Creole
Da one deh,that one  ,,Jamaican Creole
Daadie,Daddy  ,,Jamaican Creole
Dagga,dagger  ,,Jamaican Creole
Daggering,"A popular dance move done in Jamaican dancehall clubs. Daggering is where a man and woman are dancing in a sexually provocative manner (dry humping), which usually includes them simulating various sexual positions in an aggressive manner.",,Jamaican Creole
Dah,That  ,,Jamaican Creole
Dahkahs,Sunglasses  ,,Jamaican Creole
dalla,dollars  ,,Jamaican Creole
Dan,Than  ,,Jamaican Creole
Dance,party  ,,Jamaican Creole
Dancehall,"A fast paced style of Jamaican reggae which originated in the late 1970s. Dancehall is actually very different form traditional reggae as it is mostly made for dancing in the club (hence the name “dancehall”). Dancehall is mostly Dj-ing rather than singing; in which it typically involves multiple artistes dj-ing on a single riddim (e.g. guns and roses riddim). Some popular dancehall artistes are Beenie Man, Vybz Kartel, Mavado, Sean Paul, Bounty Killer and Shaba.",,Jamaican Creole
Das maad,That's awesome  ,,Jamaican Creole
Dash,Throw  ,,Jamaican Creole
Dash dem weh,Throw them away  ,,Jamaican Creole
Dash weh,"throw away, Throw away  ",,Jamaican Creole
Dat,That  ,,Jamaican Creole
Dat a,that's  ,,Jamaican Creole
Dat cost dear,Expensive  ,,Jamaican Creole
Dat Deh,That  ,,Jamaican Creole
Dat kinda vibe,in that sort of feeling/way,,Jamaican Creole
Dawg,"Friend or homeboy, Dog  ",,Jamaican Creole
Dawg nuh hol ef him ha bone,The dog does not howl if he has a bone.  ,,Jamaican Creole
Dawg wid too much owna sleep w,Dog with too much owner sleeps without bone  ,,Jamaican Creole
Dawta,Daughter  ,,Jamaican Creole
Dead Hood,Dead C**k  ,,Jamaican Creole
Dead left,"Inheritance, mostly pieces of land and houses.  ",,Jamaican Creole
Dead Wid Laugh,Dying with Laughter  ,,Jamaican Creole
Dead yard,Wake  ,,Jamaican Creole
Deadman yard,Cemetery  ,,Jamaican Creole
Dear,Expensive  ,,Jamaican Creole
Deedi,Feces  ,,Jamaican Creole
dees,these  ,,Jamaican Creole
Deffaz,A very hard slap to the face that may cause temporary hearing loss to the victim,,Jamaican Creole
Deh,"together, Together, There  ",,Jamaican Creole
Deh pon a endz,Slang expression for saying that one has gone out (usually somewhere nice).,,Jamaican Creole
Deh yah pon di gully side,Slang expression used to state one is chilling at an impoverished or neglected area of an city,,Jamaican Creole
Deh ask,asking  ,,Jamaican Creole
Deh bout,Nearby  ,,Jamaican Creole
Deh bout yah,To be present.  ,,Jamaican Creole
deh deh,there  ,,Jamaican Creole
Deh Joke,kidding  ,,Jamaican Creole
Deh liv,living  ,,Jamaican Creole
Deh pan a endz,At a location  ,,Jamaican Creole
Deh pon,On  ,,Jamaican Creole
Deh run,running  ,,Jamaican Creole
Deh suh,Over there  ,,Jamaican Creole
Deh suh it deh,That's where it's at  ,,Jamaican Creole
deh yah,"I'm here, Here  ",,Jamaican Creole
Dehgeh,Soley  ,,Jamaican Creole
Dem,"those, they, They, them, Them  ",,Jamaican Creole
Dem a,they're  ,,Jamaican Creole
Dem aguh,they'll  ,,Jamaican Creole
Dem nah learn,They're not learn  ,,Jamaican Creole
dem teef,they're thives  ,,Jamaican Creole
dem time deh,those past time  ,,Jamaican Creole
Dem Wah Fi Know,They want to know  ,,Jamaican Creole
Den,Then  ,,Jamaican Creole
Deven,Didn't even  ,,Jamaican Creole
Di,The  ,,Jamaican Creole
Di adda day,"recently,  just a few days ago  ",,Jamaican Creole
Di olda di moon di brighta it,The older the moon the brighter it shines  ,,Jamaican Creole
Di wul a dem,all of them  ,,Jamaican Creole
Dibbi dibbi,Lie.  ,,Jamaican Creole
Did,"were, Was  ",,Jamaican Creole
did a worry,worried  ,,Jamaican Creole
did ask,asked  ,,Jamaican Creole
faada,"dad, father, father  ",,Jamaican Creole
Faas,Fast  ,,Jamaican Creole
Faawud,Forward  ,,Jamaican Creole
Face bwoy,A handsome fellow  ,,Jamaican Creole
Facety,"feisty, Rude  ",,Jamaican Creole
Fah,"For, For, For  ",,Jamaican Creole
Fala fashin,imitative  or copycat  ,,Jamaican Creole
FALLA,Follow  ,,Jamaican Creole
Fallah,Follow  ,,Jamaican Creole
Fambily,"Family, Family  ",,Jamaican Creole
Family ram,Incest  ,,Jamaican Creole
farin,foreign  ,,Jamaican Creole
Farrid,Forehead  ,,Jamaican Creole
Fassy,D**khead  ,,Jamaican Creole
Fassyhole,Motherf**ker  ,,Jamaican Creole
Fatta,"Nickname given to fat or obese male, Fatter  ",,Jamaican Creole
Fava,favor  ,,Jamaican Creole
Fawma,Farmer  ,,Jamaican Creole
Fayva,resemble  ,,Jamaican Creole
Fayvah,Look like  ,,Jamaican Creole
Feel,"feels, felt  ",,Jamaican Creole
feel no way,"Don't Worry, Don't worry  ",,Jamaican Creole
Feem,His  ,,Jamaican Creole
fi,"to, for, for  ",,Jamaican Creole
fi deh,"to be,  should be  ",,Jamaican Creole
fi dem,"their, For them  ",,Jamaican Creole
Fi eva,forever  ,,Jamaican Creole
Fi im,His  ,,Jamaican Creole
Fi mi,"mine, For my, My, my / mine  ",,Jamaican Creole
Fi wi,our  ,,Jamaican Creole
Fi yuh,"for you, yours  ",,Jamaican Creole
Figat,Forgot  ,,Jamaican Creole
Figet,"forgot, Forget  ",,Jamaican Creole
Figga,figure  ,,Jamaican Creole
fine,"found, find  ",,Jamaican Creole
Finga,Finger  ,,Jamaican Creole
Finger never seh look here hi,Finger never says “look here” he says “ look yonder”  ,,Jamaican Creole
Fingga,Finger  ,,Jamaican Creole
Fire deh a muss muss tail him,"Fire is at a mouse’s tail, he thinks it’s cool breeze  ",,Jamaican Creole
First Light,Tomorrow  ,,Jamaican Creole
Fish,"Homosexual male, homosexual, Gay, Fruit Cake, Homo  ",,Jamaican Creole
fish bowling,"Smoking weed in a closed and small space, with the intent of not letting the smoke escape, to recycle the smoke in a space, as in a car.",,Jamaican Creole
Fish tea,Fish Soup  ,,Jamaican Creole
Fishaman neva seh him fish tin,Fisherman never says his fish stinks  ,,Jamaican Creole
Fiyah bun,"fire burn / denounce, Fire burn  ",,Jamaican Creole
Flex,Slang expression for making a move to go somewhere else or hanging out on the block.,,Jamaican Creole
Flim,Movie / film  ,,Jamaican Creole
Fling,Throw  ,,Jamaican Creole
Flittas,Fritters  ,,Jamaican Creole
Flowas,Flower  ,,Jamaican Creole
Fluffy,fat /plump  ,,Jamaican Creole
Fluxy,"Slang expression used to refer to anything that has undesirable characteristics (filthy, tacky, flimsy etc…).",,Jamaican Creole
Fly dem bat,Kill them  ,,Jamaican Creole
Follow Fashion Monkey,CopyCat  ,,Jamaican Creole
Fone,phone  ,,Jamaican Creole
foofa,Whose  ,,Jamaican Creole
Foofool,Stupid  ,,Jamaican Creole
Foonu,your / yours  ,,Jamaican Creole
Foot,"In Jamaican Patois, the term “foot” is used to refer to the legs, ankles or feet",,Jamaican Creole
